"species"	"range.size.km2"
"Osmia moreensis"	127314.09978972
"Osmia palmae"	7198.81697189089
"Osmia picena"	250613.0804012
"Osmia pilicornis"	4735678.81936868
"Osmia steinmanni"	291852.29566498
"Osmia svenssoni"	783137.882029329
"Protosmia asensioi"	581102.357313383
"Protosmia capitata"	581102.357313383
"Protosmia minutula"	1349210.23784277
"Bombus opifex"	2900056.79327032
"Andrena bucephala"	629352.743066563
"Andrena curvana"	511818.016126192
"Andrena fimbriata"	88310.4093039897
"Andrena fulva"	1570267.53674199
"Andrena fulvata"	164296.602754396
"Andrena graecella"	35235.0801293602
"Hoplitis loti"	2787523.33415432
"Megachile pluto"	15737.3137947811
"Nomada alpigena"	26627.1260027708
"Nomada argentata"	513699.922804229
"Nomada ariasi"	52375.3048600937
"Nomada armata"	3616391.64961169
"Nomada arrogans"	29108.2929286331
"Nomada atroscutellaris"	1297296.98141381
"Nomada baccata"	332917.816858875
"Nomada barcelonensis"	22825.8103405466
"Nomada bluethgeni"	1214673.17593839
"Nomada bolivari"	1281.8319128747
"Nomada concolor"	294878.587229263
"Nomada corcyraea"	78232.0783995969
"Nomada coronata"	526198.169190914
"Nomada cypricola"	9012.60760655792
"Nomada discedens"	631759.389258593
"Nomada errans"	196888.172644248
"Nomada fabriciana"	3829902.26522926
"Nomada ferruginata"	6944497.95333062
"Nomada flava"	4101874.35773311
"Nomada fusca"	49769.4924420652
"Nomada gransassoi"	30530.6555111935
"Nomada gruenwaldti"	3690.32482524979
"Nomada hirtipes"	262543.047662859
"Nomada hispanica"	583303.047267396
"Nomada illustris"	56865.6212198294
"Nomada kornosica"	10735.6508313926
"Nomada lamellata"	9667.80081538639
"Nomada melathoracica"	364596.100890358
"Nomada nesiotica"	12771.5525495587
"Nomada noskiewiczi"	40147.2451976431
"Nomada orbitalis"	22032.3219142112
"Nomada piccioliana"	315908.916783406
"Nomada polemediana"	6395.18868111381
"Nomada priesneri"	8218.59126629856
"Nomada rubricoxa"	101370.024587197
"Nomada rufoabdominalis"	33584.4225522986
"Nomada sicula"	25432.6864752662
"Nomada signata"	1715812.94942984
"Nomada similis"	647958.99941031
"Nomada standfussi"	6861.89777281724
"Nomada verna"	90246.5529502719
"Andrena barbareae"	54760.4354463914
"Nomada cretensis"	5905.73469665792
"Hylaeus azorae"	2238.04476228329
"Andrena afrensis"	170025.053681133
