"species"	"range.size.km2"
"Cyperus papyrus"	9948181.66230212
"Oryza grandiglumis"	15527835.0761134
"Schoenoplectus lacustris"	9919185.95900137
"Nasturtium africanum"	5614.66120590699
"Juncus emmanuelis"	11532.9274970265
"Veronica catenata"	3136441.20015271
"Epipactis gigantea"	5742444.27004943
"Isoetes lechleri"	45798.2411349253
"Bolbitis presiliana"	204455.557761586
"Ixora ripicola"	17323.7633785602
"Armeria helodes"	7188.29327000696
"Eleocharis nupeensis"	388847.68642704
"Viola maroccana"	43479.4134804241
"Mimulus orbicularis"	1883352.9972048
"Agrostis stolonifera"	11186606.2727224
"Pinguicula reichenbachiana"	44686.8043476377
"Eryngium viviparum"	38229.7750279336
"Isoetes saracochensis"	480.285647958895
"Pandanus platyphyllus"	2781.58078931235
"Carex hebecarpa"	174551.248408743
"Pinguicula fontiqueriana"	7283.69287853291
"Ranalisma rostrata"	4877951.27705301
"Cyperus pulchellus"	5108773.29369504
"Cyperus alopecuroides"	6703992.29656668
"Eriocaulon afzelianum"	4438976.07967875
"Thomandersia hensii"	2429510.97780256
"Chamaegigas intrepidus"	29083.5574839459
"Fimbristylis littoralis"	1205342.89688185
"Cochlearia polonica"	22491.8161705095
"Thelethylax isalensis"	177.116997312429
"Eriocaulon margaretae"	414781.75952297
"Isoetes aequinoctialis"	1394639.18975972
"Potamogeton bicupulatus"	272365.703678378
"Drepanocladus sparsus"	124047.846551921
"Polytrias indica"	1204985.96986585
"Utricularia rigida"	3014466.22499928
"Hydrostachys stolonifera"	20498.6854639486
"Crinum crassicaule"	439085.176604969
"Brillantaisia lamium"	3872190.60657054
"Gerbera hypochaeridoides"	3945.48258296232
"Petagnia saniculifolia"	273.125017926176
"Cyperus sphaerospermus"	905376.625871314
"Cyperus esculentus"	1204985.96974291
"Fimbristylis aphylla"	484269.268196965
"Matelea rivularis"	43316.1253473195
"Limnophila glabra"	3346845.75849248
"Riella purpureospora"	135851.555886166
"Macropodiella pellucida"	81109.918391339
"Echinodorus emersus"	5415.97006951886
"Juncus subulitepalus"	6865.86094073286
"Plantago cordata"	616030.840767685
"Juncus requienii"	271.923468042014
"Merremia gangetica"	49872.6296182087
"Aponogeton capuronii"	1189.52851052468
"Xyris lejolyanus"	3739222.94079369
"Carex hispida"	568846.89718872
"Lindernia natans"	2167.1977952625
"Ammannia nagpurensis"	36537.069026078
"Tamarix smyrnensis"	149834.669152782
"Symplocarpus foetidus"	1365219.58691968
"Cyperus submicrolepis"	3273545.4194595
"Nymphaea tetragona"	42256247.5492118
"Sonchus macrocarpus"	42539.2897605701
"Eriocaulon meiklei"	788187.256987212
