"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp"
"Anatololacerta anatolica" "Anatololacerta anatolica (Werner, 1900)" "SPECIES" "accepted" "Anatololacerta anatolica (Werner, 1900)" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 1 NA NA NA NA NA NA 0 0 NA NA 0 229900 9.77237221 75 5.5 "oviparous" NA 3 10 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 2 NA 0.009471595 0.160084669 0.110268385 0 13.44 643.1635099 7091.6 17.677192 850 NA "No" NA NA NA NA "non-fanged" NA 32.9
"Anatololacerta oertzeni" "Anatololacerta oertzeni (Werner, 1904)" "SPECIES" "synonym" "Anatololacerta anatolica (Werner, 1900)" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 1 NA NA NA NA NA NA 0 0 NA NA 0 229900 9.77237221 75 5.5 "oviparous" NA 3 10 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 2 NA 0.009471595 0.160084669 0.110268385 0 13.44 643.1635099 7091.6 17.677192 850 NA "No" NA NA NA NA "non-fanged" NA 32.9
"Anguis cephallonicus" "Anguis cephallonica Werner, 1894" "SPECIES" "accepted" "Anguis cephallonica Werner, 1894" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "Yes" NA "NT" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 96800 75.8577575 286 10.5 "viviparous" NA 3 NA "Diurnal" "Carnivorous" 1 1 NA 0 0 0 0 0.5 4 NA 0.001703837 0.082464778 0.135626377 0 NA 729.1188334 NA 21.232636 600 NA "No" NA NA NA NA "non-fanged" NA 29
"Anguis cephalonnica" "Anguis cephallonica Werner, 1894" "SPECIES" "accepted" "Anguis cephallonica Werner, 1894" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 96800 75.8577575 286 10.5 "viviparous" NA 3 NA "Diurnal" "Carnivorous" 1 1 NA 0 0 0 0 0.5 4 NA 0.001703837 0.082464778 0.135626377 0 NA 729.1188334 NA 21.232636 600 NA "No" NA NA NA NA "non-fanged" NA 29
"Anguis fragilis" "Anguis fragilis Linnaeus, 1758" "SPECIES" "accepted" "Anguis fragilis Linnaeus, 1758" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 3932500 79.43282347 291 9.48 "viviparous" NA 3.5 54 "Diurnal" "Carnivorous" 1 1 NA 0 0 0 0 0.5 4 NA 0.010182088 0.150893243 0.064806025 3.45384e-06 8.49 845.6258295 6158.1 16.241932 1370 NA "No" NA NA "ACT" NA "non-fanged" NA 24.25
"Anguis jaculus" "Anguis jaculus Linnaeus, 1758" "SPECIES" "homotypic synonym" "Eryx jaculus (Linnaeus, 1758)" "Eryx" "Boidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 1 0 0 0 0 1 0 NA NA NA NA NA NA 1 1 NA NA 0 4561700 254.2289496 552.5 13 "ovoviviparous" NA 3 24.7 "Nocturnal" NA NA NA NA NA NA NA NA 0.25 4 NA 0.005450615 0.131127623 0.026217727 0.048297635 17.00134 352.3145859 818.3152 0.73 850 NA "No" NA NA NA "slit (or vertical elliptical)" "non-fanged" NA NA
"Anguis miliaris" "Anguis miliaris Pallas, 1773" "SPECIES" "homotypic synonym" "Eryx miliaris (Pallas, 1773)" "Eryx" "Boidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 0 0 0 0 1 1 0 NA NA NA NA NA NA 1 0 NA NA 0 5856400 188.2 720 13 "viviparous" NA 3 18.3 "Nocturnal" "Carnivorous" 1 1 NA 0 0 0 0 0.25 4 NA 0.001652304 0.051182371 0.013499871 0.240277358 12.27833603 193.0950477 10612.88408 84.09454495 1063.342768 NA "No" NA NA "Mixed" "slit (or vertical elliptical)" "non-fanged" NA NA
"Anguis punctatissimus" "Anguis punctatissimus Bibron & Bory De St.Vincent, 1833" "SPECIES" "homotypic synonym" "Ophiomorus punctatissimus (Bibron & Bory De St.Vincent, 1833)" "Ophiomorus" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 0 0 0 0 0 1 0 NA NA NA NA NA NA 1 0 NA NA 0 108900 2.454708916 100 3 "viviparous" NA 3 NA "Diurnal" "Carnivorous" 1 0 NA 0 0 1 0 0 2 NA 0.002514557 0.096369178 0.106904741 0 14.92 695.2593062 6561.4 20.766255 650 NA "No" NA NA NA NA "non-fanged" NA 29.8
"Anguis veronensis" "Anguis veronensis Pollini, 1818" "SPECIES" "accepted" "Anguis veronensis Pollini, 1818" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "SPEED2ZERO" "INN" NA "EN" NA "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 605000 41.68693835 233 NA "viviparous" NA NA 9 "Cathemeral" "Carnivorous" 1 1 NA 0 0 0 0 0.5 1 NA 0.013781802 0.126426064 0.051568874 0 21.41 917.7066544 348.8061 19.777919 1000 NA "No" NA NA NA NA "non-fanged" NA 26.15
"Archaeolacerta bedriagae" "Archaeolacerta bedriagae (Camerano, 1885)" "SPECIES" "accepted" "Archaeolacerta bedriagae (Camerano, 1885)" "Archaeolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 0 0 1 1 1 0 0 1 1 0 1 NA NA NA NA NA NA 0 1 NA NA 0 84700 14.12537545 84 4.5 "oviparous" NA NA NA "Diurnal" "Omnivorous" 1 NA NA NA NA NA 1 0.5 4 NA 0.00271889 0.050181255 0.040135536 0 13.71 723.4959235 5186.6 22.764316 1355 NA "No" NA NA NA NA "non-fanged" NA 32.4
"Archaeolacerta mosorensis" "Archaeolacerta mosorensis (Kolombatovic, 1886)" "SPECIES" "accepted" "Archaeolacerta mosorensis (Kolombatovic, 1886)" "Archaeolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Archaeolacerta oxycephala" "Archaeolacerta oxycephala (Duméril & Bibron, 1839)" "SPECIES" "homotypic synonym" "Dalmatolacerta oxycephala (Schlegel, 1839)" "Dalmatolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 0 0 NA NA NA NA NA NA 1 1 NA NA 0 157300 8.128305162 70.6 3.4 "oviparous" NA NA 3.9 "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 3 NA 0.002682418 0.082286714 0.07980026 0 11 1308.124664 6743.9 19.689252 800 NA "No" NA NA NA NA "non-fanged" NA 33.1
"Blanus cinereus" "Blanus cinereus Vandelli, 1797" "SPECIES" "accepted" "Blanus cinereus Vandelli, 1797" "Blanus" "Amphisbaenidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 556600 16.59586907 254 2 "oviparous" NA NA 16 "Cathemeral" "Omnivorous" 1 NA NA NA NA NA NA 0 4 NA 0.007237356 0.222273227 0.058874947 0 13.96 610.125025 6133 28.844649 1000 NA "No" NA NA NA NA "non-fanged" NA 22.8
"Blanus strauchi" "Blanus strauchi (Bedriaga, 1884)" "SPECIES" "accepted" "Blanus strauchi (Bedriaga, 1884)" "Blanus" "Amphisbaenidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 1 0 0 1 0 0 0 0 0 0 NA NA NA NA NA NA 1 1 NA NA 0 592900 9.77237221 212 1.5 "oviparous" NA 3 23 NA "Carnivorous" 1 0 NA 0 0 0 0 0 2 NA 0.006567033 0.200419892 0.072796645 0.008896434 NA 639.2175797 NA 18.663327 675 NA "No" NA NA NA NA "non-fanged" NA NA
"Callopeltis lineata" "Callopeltis lineata Camerano, 1891" "SPECIES" "homotypic synonym" "Elaphe lineata (Camerano, 1891)" "Elaphe" "Colubridae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Caretta caretta" "Caretta caretta (Linnaeus, 1758)" "SPECIES" "accepted" "Caretta caretta (Linnaeus, 1758)" "Caretta" "Cheloniidae" "Testudines" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA "ENDANGERED" 1 0 1 0 0 1 0 0 1 0 0 0 0 NA NA NA NA NA NA 0 0 NA NA 0 32682100 250000 2130 115 "oviparous" NA NA 76 "Cathemeral" "Carnivorous" 1 0 NA 0 0 0 0 0.5 3 NA 0.005816872 0.078823905 0.103677467 0.027876482 NA 1634.930682 NA NA 242.0813702 NA "No" "Brown/Yellow" "Uniform" "ACT" "round (or oval)" "non-fanged" "TSD" 27.51
"Chalcides bedriagai" "Chalcides bedriagai (Bosca, 1880)" "SPECIES" "accepted" "Chalcides bedriagai (Bosca, 1880)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 0 1 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 653400 19.95262315 97.8 2.435 "viviparous" NA NA NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0 4 NA 0.006890748 0.214137868 0.059440032 0 13.86 633.6636252 5968.2 23.165025 950 NA "No" NA NA NA NA "non-fanged" NA 28.5
"Chalcides chalcides" "Chalcides chalcides (Linnaeus, 1758)" "SPECIES" "accepted" "Chalcides chalcides (Linnaeus, 1758)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 1 1 0 0 1 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 629200 33.88441561 210 7.4 "viviparous" NA 1.75 4 "Cathemeral" "Carnivorous" 1 0 NA 0 0 0 0 0.25 5 NA 0.010779858 0.180641922 0.043708354 0.000879458 14.56 685.53079 5991.7 21.74347 1150 NA "No" NA NA NA NA "non-fanged" NA NA
"Chalcides ocellatus" "Chalcides ocellatus (Forskal, 1775)" "SPECIES" "accepted" "Chalcides ocellatus (Forskal, 1775)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 1 1 0 0 1 1 1 0 NA NA NA NA NA NA 1 1 NA NA 0 12838100 97.7237221 159.8 6.5 "viviparous" NA 2.33333333333333 14 "Cathemeral" "Carnivorous" 1 0 NA 0 0 0 1 0.5 7 NA 0.002507618 0.055055128 0.008486082 0.171947207 21.32 188.3340248 5979.9 55.932611 1065 NA "No" NA NA "Mixed" NA "non-fanged" NA 32.25
"Chalcides parallelus" "Chalcides parallelus Doumergue, 1901" "SPECIES" "accepted" "Chalcides parallelus Doumergue, 1901" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "ENDANGERED" 1 0 0 1 1 0 1 0 0 0 0 0 0 NA NA NA NA NA NA 1 1 NA NA 0 36300 16.21810097 91.5 3.5 "viviparous" NA NA NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.25 2 NA 0.004206592 0.242642708 0 0 NA 360.4321053 NA 23.446898 5 NA "No" NA NA NA NA "non-fanged" NA NA
"Chalcides sexlineatus" "Chalcides sexlineatus Steindachner, 1891" "SPECIES" "accepted" "Chalcides sexlineatus Steindachner, 1891" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 1 1 NA NA NA NA NA NA 1 1 NA NA 0 36300 20.89296131 99 4.5 "viviparous" NA 2 NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 5 NA 0.007165641 0.007582487 0 0 18.48 279.1201503 2020.2 25.786242 99.10266497 NA "No" NA NA NA NA "non-fanged" NA NA
"Chalcides simonyi" "Chalcides simonyi (Steindachner, 1891)" "SPECIES" "accepted" "Chalcides simonyi (Steindachner, 1891)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "EN" "ENDANGERED" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.65158 124.5 4.5 "viviparous" NA NA NA NA "Omnivorous" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.152591 NA NA "No" NA NA NA NA "non-fanged" NA NA
"Chalcides striatus" "Chalcides striatus (Cuvier, 1829)" "SPECIES" "accepted" "Chalcides striatus (Cuvier, 1829)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 0 992200 33.88441561 210 7 "viviparous" NA 3 NA "Diurnal" "Carnivorous" 1 0 NA 0 0 0 0 0.5 4 NA 0.00753602 0.177160967 0.064072566 0 NA 760.8925692 NA 21.910758 900 NA "No" NA NA NA NA "non-fanged" NA NA
"Chalcides viridanus" "Chalcides viridanus (Gravenhorst, 1851)" "SPECIES" "accepted" "Chalcides viridanus (Gravenhorst, 1851)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 1 1 NA NA NA NA NA NA 1 1 NA NA 0 96800 48.97788194 129 4 "viviparous" NA NA NA "Diurnal" "Omnivorous" 1 NA NA 1 1 NA NA 0.5 5 NA 0.003373369 0.005609077 0 0 17.52 257.9746229 2085.9 28.677484 1860 NA "No" NA NA NA NA "non-fanged" NA NA
"Chamaeleo africanus" "Chamaeleo africanus Laurenti, 1768" "SPECIES" "accepted" "Chamaeleo africanus Laurenti, 1768" "Chamaeleo" "Chamaeleonidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 0 1 1 1 0 1 1 0 0 0 NA NA NA NA NA NA 1 1 NA NA 0 9643700 147.9108388 200 34 "oviparous" NA 1.125 NA "Diurnal" "Omnivorous" 1 NA NA NA NA NA 1 0.75 5 NA 0.001762591 0.123547977 0.05645054 0.149145788 25.44 416.3379812 3184.8 39.928219 1205 NA "No" NA NA NA NA "non-fanged" NA 22.75
"Chamaeleo chamaeleon" "Chamaeleo chamaeleon (Linnaeus, 1758)" "SPECIES" "accepted" "Chamaeleo chamaeleon (Linnaeus, 1758)" "Chamaeleo" "Chamaeleonidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 0 0 0 1 0 0 0 0 0 1 NA NA NA NA NA NA 1 1 NA NA 0 3702600 95.4992586 170 23.65 "oviparous" NA 1.29166666666667 6 "Diurnal" "Omnivorous" 1 1 NA 1 NA NA NA 1 3 NA 0.005582485 0.119811561 0.015701882 0.176525191 18.47 258.16309 5962.5 35.927689 1107.5 NA "No" NA NA "AMB" NA "non-fanged" "GSD (XX/XY)" 28.5
"Chelonia mydas" "Chelonia mydas (Linnaeus, 1758)" "SPECIES" "accepted" "Chelonia mydas (Linnaeus, 1758)" "Chelonia" "Cheloniidae" "Testudines" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA "ENDANGERED" 1 0 1 0 1 1 0 0 1 0 0 0 0 NA NA NA NA NA NA 0 0 NA NA 1 31847200 230000 1500 112.5 "oviparous" NA NA 75 "Cathemeral" "Omnivorous" 1 1 NA NA NA NA 1 0.5 4 NA 0.005992507 0.080265794 0.107056386 0.02815448 NA 1651.08639 NA NA 244.0502117 NA "No" "Black/Brown" "Uniform" "ACT" "round (or oval)" "non-fanged" "TSD" 29.94
"Coluber algirus" "Coluber algirus (Jan, 1863)" "SPECIES" "homotypic synonym" "Hemorrhois algirus (Jan, 1863)" "Hemorrhois" "Colubridae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 0 NA NA NA NA NA NA 1 1 NA NA 0 2541000 165.3130471 NA NA "oviparous" NA NA 6.3 NA NA NA NA NA NA NA NA NA 0.5 2 NA 0.001136973 0.021788943 0.000987332 0.138333357 NA 100.0500324 NA 0.66 1089 NA NA NA NA NA "round (or oval)" "rear-fanged" NA NA
