"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up"
"Drepanocladus polygamus" "Drepanocladus polygamus (Schimp.) Hedenäs" "SPECIES" "accepted" "Drepanocladus polygamus (Schimp.) Hedenäs" "Drepanocladus" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "EN" "LC" "LEAST_CONCERN" 1 0 NA NA 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 NA "monoicous" "occasional" 16.7 34 80 20 0 NA 0 0 0 0 0 NA 1 5 3 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 8 5 4 3 4 3 2 4 8 4 4.35 718.9 0 700 1400
"Drepanocladus sendtneri" "Drepanocladus sendtneri (Schimp. ex H.Müll.) Warnst." "SPECIES" "accepted" "Drepanocladus sendtneri (Schimp. ex H.Müll.) Warnst." "Drepanocladus" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR" "VU" "REGIONALLY_EXTINCT" 1 0 NA NA 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 NA "dioicous" "rare" 16.7 50 130 16 0 NA 0 0 0 0 0 NA 1 4 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 8 5 9 5 3 1 3 4 9 4 6.85 794 0 1100 2200
"Drepanocladus sordidus" "Drepanocladus sordidus (Müll.Hal.) Hedenäs" "SPECIES" "accepted" "Drepanocladus sordidus (Müll.Hal.) Hedenäs" "Drepanocladus" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR" "NT" "ENDANGERED" 0 1 NA NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 50 200 14.5 0 NA 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 NA NA 0 3 0 4 2.75 765.3 0 500 1000
"Drepanocladus trifarius" "Drepanocladus trifarius (F.Weber & D.Mohr) Broth." "SPECIES" "accepted" "Drepanocladus trifarius (F.Weber & D.Mohr) Broth." "Drepanocladus" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 0 NA NA 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 NA "dioicous" "rare" 16.7 NA 95 12 0 NA 0 0 0 0 0 NA 0 44 4 0 1 0 0 0 3 1 1 39 0 0 0 0 0 0 0 0 0 0 8 5 9 3 2 0 2 NA 8 4 2.95 875.8 10 1005 2000
"Drepanocladus turgescens" "Drepanocladus turgescens (T.Jensen) Broth." "SPECIES" "accepted" "Drepanocladus turgescens (T.Jensen) Broth." "Drepanocladus" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "EN" "LC" "LEAST_CONCERN" 1 0 NA NA 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 NA "dioicous" "occasional" 16.7 NA 218 12 0 NA 0 0 0 0 0 NA 0 16 0 0 3 1 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 8 5 8 5 3 0 1 2 9 4 -0.15 910.7 20 1185 2350
"Drepanolejeunea hamatifolia" "Drepanolejeunea hamatifolia (Hook.) Schiffn." "SPECIES" "accepted" "Drepanolejeunea hamatifolia (Hook.) Schiffn." "Drepanolejeunea" "Lejeuneaceae" "Porellales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "LC" NA 1 0 NA NA 1 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "foliose" "mat" "longLived_shuttle" 1 "erect" 0 1 NA "both" "common" 16.7 NA 10 28 1 NA 0 0 0 0 1 "common" 1 NA NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 1 NA 0 NA NA NA NA NA 4 NA NA 0 NA NA 3 NA 9.65 1442.2 0 750 1500
"Dumortiera hirsuta" "Dumortiera hirsuta (Sw.) Nees" "SPECIES" "accepted" "Dumortiera hirsuta (Sw.) Nees" "Dumortiera" "Dumortieraceae" "Marchantiales" "Marchantiopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "NT" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "thalloid" "mat" "longLived_shuttle" 0 "erect" 0 1 NA "both" "occasional" 16.7 NA 120 28.5 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA 6 NA NA 0 NA NA 2 NA 11.25 1405.9 15 757.5 1500
"Echinodium renauldii" "Echinodium renauldii (Cardot) Broth." "SPECIES" "accepted" "Echinodium renauldii (Cardot) Broth." "Echinodium" "Echinodiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "EN" "VULNERABLE" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 675.10995899649 "pleurocarpous" NA "perennial" 0 NA 1 1 0 "dioicous" "rare" 16.7 NA 100 NA 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 15.85 1457.35 75 662.5 1250
"Echinodium setigerum" "Echinodium setigerum (Mitt.) Jur." "SPECIES" "accepted" "Echinodium setigerum (Mitt.) Jur." "Echinodium" "Echinodiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 182.350021198245 "pleurocarpous" NA "perennial" 0 "erect" 1 1 NA "dioicous" "rare" 16.7 23 100 13.5 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 1 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 15.25 2538.95 200 550 900
"Echinodium spinosum" "Echinodium spinosum (Mitt.) Jur." "SPECIES" "accepted" "Echinodium spinosum (Mitt.) Jur." "Echinodium" "Echinodiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 462.285383487475 "pleurocarpous" NA "perennial" 0 "inclined" 1 1 NA "dioicous" "occasional" 16.7 18 120 12.5 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 15.25 2292.45 300 950 1600
"Encalypta affinis" "Encalypta affinis R.Hedw." "SPECIES" "accepted" "Encalypta affinis R.Hedw." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "NT" "DD" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "occasional" 16.7 NA 50 25 0 NA 0 0 0 0 0 NA 1 0 2 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 6 3 7 4 3 NA 1 1 8 3 1.25 874.1 0 1500 3000
"Encalypta affinis subsp. affinis" "Encalypta affinis subsp. affinis" "SUBSPECIES" "accepted" "Encalypta affinis subsp. affinis" "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" NA "NT" NA "NOT_APPLICABLE" NA NA NA NA 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 13 0 2 0 0 0 0 4 NA 1 NA 0 NA 0 NA 0 NA 0 0 0 NA 3 NA 4 NA NA NA 1 NA 3 NA NA NA NA NA
"Encalypta affinis subsp. macounii" "Encalypta affinis subsp. macounii (Austin) D.G.Horton" "SUBSPECIES" "accepted" "Encalypta affinis subsp. macounii (Austin) D.G.Horton" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA NA "CR (PE)" NA "NOT_EVALUATED" NA NA NA NA 1 0 0 0 0 0 1 1 0 0 0 NA 0 0 NA 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA 4 NA NA NA 1 NA 3 NA NA NA NA NA
"Encalypta affinis var. affinis" "Encalypta affinis var. affinis" "VARIETY" "synonym" "Encalypta affinis R.Hedw." "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "FaunaEuropeae" "INN" "No" "NT" "DD" "NOT_APPLICABLE" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "occasional" 16.7 NA 50 25 0 NA 0 0 0 0 0 NA 1 0 2 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 6 3 7 4 3 NA 1 1 8 3 1.25 874.1 0 1500 3000
"Encalypta affinis var. macounii" "Encalypta affinis var. macounii (Austin) H.A.Crum & L.E.Anderson" "VARIETY" "synonym" "Encalypta affinis subsp. macounii (Austin) D.G.Horton" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "FaunaEuropeae" NA NA "CR (PE)" NA "NOT_EVALUATED" NA NA NA NA 1 0 0 0 0 0 1 1 0 0 0 NA 0 0 NA 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA 4 NA NA NA 1 NA 3 NA NA NA NA NA
"Encalypta alpina" "Encalypta alpina Sm." "SPECIES" "accepted" "Encalypta alpina Sm." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 40 28 0 NA 0 0 0 0 0 NA 1 7 97 0 9 3 19 0 5 5 1 6 0 0 0 0 0 0 0 0 0 0 5 3 7 5 3 0 1 1 6 2 3.15 757.5 350 1075 1800
"Encalypta brevicolla" "Encalypta brevicolla (Bruch & Schimp.) Ångstr." "SPECIES" "accepted" "Encalypta brevicolla (Bruch & Schimp.) Ångstr." "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 30 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA 7 NA NA 0 NA NA 4 NA 1.55 809.3 150 925 1700
"Encalypta brevipes" "Encalypta brevipes Schljakov" "SPECIES" "accepted" "Encalypta brevipes Schljakov" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "EN" "NEAR_THREATENED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "shortLived_shuttle" 0 NA NA NA NA "monoicous" "common" 6.7 NA 10 42.5 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA 5 NA 5 NA NA NA 2 NA 6 NA -0.35 1307 0 0 0
"Encalypta ciliata" "Encalypta ciliata Hedw." "SPECIES" "accepted" "Encalypta ciliata Hedw." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA "acrocarpous" "turf" "longLived_shuttle" 0 "erect" 1 NA 0 "monoicous" "common" 16.7 NA 50 32 0 NA 0 0 0 0 0 NA 1 0 37 0 1 3 16 3 2 29 1 4 0 0 0 1 0 0 0 0 0 0 6 3 5 NA 3 0 3 2 5 2 3.95 721 130 1455 2780
"Encalypta longicolla" "Encalypta longicolla Bruch" "SPECIES" "accepted" "Encalypta longicolla Bruch" "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "VU" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "acrocarpous" NA "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 75 0 NA 0 0 0 0 0 NA 1 0 7 0 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 4 9 5 4 NA 1 2 5 3 2.55 1269.2 700 1650 2600
"Encalypta microstoma" "Encalypta microstoma Bals.-Criv. & De Not." "SPECIES" "accepted" "Encalypta microstoma Bals.-Criv. & De Not." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "NT" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 34.5 0 NA 0 0 0 0 0 NA 1 0 20 0 0 0 1 5 0 15 1 0 0 0 0 0 0 0 0 0 0 0 4 2 5 NA NA NA 2 2 8 3 6.85 1021.9 10 1530 3050
"Encalypta mutica" "Encalypta mutica I.Hagen" "SPECIES" "accepted" "Encalypta mutica I.Hagen" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "VU" "VULNERABLE" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 10 28 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA 5 NA 8 NA NA NA 2 NA 8 NA 4.65 810.7 0 450 900
"Encalypta pilifera" "Encalypta pilifera Funck" "SPECIES" "accepted" "Encalypta pilifera Funck" "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "VU" "LC" NA 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "longLived_shuttle" 0 "erect" NA NA NA NA "common" 16.7 NA 10 35 0 NA 0 0 0 0 0 NA 1 0 2 0 2 0 3 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 NA 2 NA 5 NA NA NA 1 NA 4 6.65 862.6 0 1000 2000
"Encalypta procera" "Encalypta procera Bruch" "SPECIES" "accepted" "Encalypta procera Bruch" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "perennial" 0 NA NA NA NA "monoicous" "common" 16.7 NA 50 17 1 NA 1 NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 0.35 883.9 0 0 0
"Encalypta rhaptocarpa" "Encalypta rhaptocarpa Schwägr." "SPECIES" "accepted" "Encalypta rhaptocarpa Schwägr." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 34 0 NA 0 0 0 0 0 NA 1 1 34 0 2.5 1 17 1 1 3 1 2 0 0 0 0 0 1 0 0 0 0 6 2 9 5 3 0 2 1 6 4 4.35 721.9 0 0 0
"Encalypta rhaptocarpa aggr." "Encalypta rhaptocarpa Schwägr." "AGGREGATE" "accepted" "Encalypta rhaptocarpa Schwägr." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "VU bis LC, DD" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 34 0 NA 0 0 0 0 0 NA 1 1 34 0 2.5 1 17 1 1 3 1 2 0 0 0 0 0 1 0 0 0 0 6 2 9 5 3 0 2 1 6 4 4.35 721.9 0 0 0
"Encalypta rhaptocarpa subsp. leptodon" "Encalypta rhaptocarpa subsp. leptodon (Limpr.) Kindb." "SUBSPECIES" "synonym" "Encalypta vulgaris Hedw." "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "FaunaEuropeae" "INN" "No" "LC" "LC" "NOT_APPLICABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 30 0 NA 0 0 0 0 0 NA 1 2 106 0 10 4 56 5 1 8 1 2 0 1 0 1 0 0 0 1 0 0 4 2 8 5 4 0 5 1 9 4 7.85 736.7 0 1650 3300
"Encalypta rhaptocarpa var. leptodon" "Encalypta rhaptocarpa subsp. leptodon (Limpr.) Kindb." "VARIETY" "synonym" "Encalypta vulgaris Hedw." "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 30 0 NA 0 0 0 0 0 NA 1 2 106 0 10 4 56 5 1 8 1 2 0 1 0 1 0 0 0 1 0 0 4 2 8 5 4 0 5 1 9 4 7.85 736.7 0 1650 3300
"Encalypta spathulata" "Encalypta spathulata Müll.Hal." "SPECIES" "accepted" "Encalypta spathulata Müll.Hal." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "DD" "VU" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 NA NA "acrocarpous" "turf" "longLived_shuttle" 0 "erect" 1 NA 0 "monoicous" "common" 16.7 NA 10 42 0 NA 0 0 0 0 0 NA 1 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 3 9 5 3 NA 3 3 5 3 6.85 782.6 50 1525 3000
"Encalypta streptocarpa" "Encalypta streptocarpa Hedw." "SPECIES" "accepted" "Encalypta streptocarpa Hedw." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "perennial" 0 "erect" 1 NA 0 "dioicous" "occasional" 16.7 NA 60 11 1 NA 1 0 0 0 0 NA 1 18 231 1 30 56 346 3 3 16 1 14 0 9 0 10 0 2 0 0 0 1 5 3 8 4 5 0 0 3 5 2 7.75 741.5 0 1425 2850
"Encalypta trachymitria" "Encalypta trachymitria Ripart" "SPECIES" "accepted" "Encalypta trachymitria Ripart" "Encalypta" "Encalyptaceae" "Encalyptales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA NA "LC" NA "VULNERABLE" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 4 0 0 1 6 0 0 2 NA 0 NA 0 NA 0 NA 0 NA 0 0 0 NA 2 NA 5 NA NA NA 1 NA 4 NA NA NA NA NA
"Encalypta vulgaris" "Encalypta vulgaris Hedw." "SPECIES" "accepted" "Encalypta vulgaris Hedw." "Encalypta" "Encalyptaceae" "Funariales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA "acrocarpous" "turf" "longLived_shuttle" 0 NA NA NA NA "monoicous" "common" 16.7 NA 20 30 0 NA 0 0 0 0 0 NA 1 2 106 0 10 4 56 5 1 8 1 2 0 1 0 1 0 0 0 1 0 0 4 2 8 5 4 0 5 1 9 4 7.85 736.7 0 1650 3300
"Endogemma caespiticia" "Endogemma caespiticia (Lindenb.) Konstant., Vilnet & A.V.Troitsky" "SPECIES" "accepted" "Endogemma caespiticia (Lindenb.) Konstant., Vilnet & A.V.Troitsky" "Endogemma" "Endogemmataceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "InfoSpecies" NA "No" "CR" "LC" "LEAST_CONCERN" 1 0 NA NA 1 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 NA "foliose" "turf" "colonist" 0 "erect" 0 NA 0 "dioicous" "rare" 6.7 NA 2.7 14.5 1 NA 1 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA 6 3 2 2 3 0 3 3 7 4 6.95 805.6 100 1050 2000
"Entodon cladorrhizans" "Entodon cladorrhizans (Hedw.) Müll.Hal." "SPECIES" "accepted" "Entodon cladorrhizans (Hedw.) Müll.Hal." "Entodon" "Entodontaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA "No" "CR (PE)" "DD" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 NA "pleurocarpous" NA "perennial" 0 "erect" 1 1 NA "monoicous" "occasional" 16.7 NA 60 16 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 1 NA 0 NA 0 NA NA NA 5 3 5 NA NA NA 5 4 5 3 10.15 1101.95 0 0 0
"Entodon cladorrhizans aggr." "Entodon cladorrhizans (Hedw.) Müll.Hal." "AGGREGATE" "accepted" "Entodon cladorrhizans (Hedw.) Müll.Hal." "Entodon" "Entodontaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA "No" "CR bis NT" "DD" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 NA "pleurocarpous" NA "perennial" 0 "erect" 1 1 NA "monoicous" "occasional" 16.7 NA 60 16 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 1 NA 0 NA 0 NA NA NA 5 3 5 NA NA NA 5 4 5 3 10.15 1101.95 0 0 0
"Entodon concinnus" "Entodon concinnus (De Not.) Paris" "SPECIES" "accepted" "Entodon concinnus (De Not.) Paris" "Entodon" "Entodontaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA NA "pleurocarpous" "weft" "perennial" 0 "erect" 1 1 0 "dioicous" "rare" 16.7 NA 67.5 11.75 0 NA 0 0 0 0 0 NA 1 6 325 0 21 1 46 2 0 18 1 2 0 4 0 3 0 1 0 0 0 1 3 2 8 5 4 0 3 3 9 4 8.25 756.3 0 1400 2800
