"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up"
"Acrobolbus azoricus" "Acrobolbus azoricus (Grolle & Perss.) Briscoe" "SPECIES" "accepted" "Acrobolbus azoricus (Grolle & Perss.) Briscoe" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 399.373203370624 "foliose" NA "perennial" 1 "erect" 0 NA NA NA NA 16.7 NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 14.95 1472.95 10 755 1500
"Acrobolbus madeirensis" "Acrobolbus madeirensis (Grolle & Perss.) Briscoe" "SPECIES" "accepted" "Acrobolbus madeirensis (Grolle & Perss.) Briscoe" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 15.0072181212323 "foliose" NA "perennial" 1 "erect" 0 NA NA NA NA 16.7 NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 13.7 2913.65 600 950 1300
"Acrobolbus wilsonii" "Acrobolbus wilsonii Nees" "SPECIES" "accepted" "Acrobolbus wilsonii Nees" "Acrobolbus" "Acrobolbaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "VU" "VULNERABLE" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19067.0942988928 "foliose" "mat" "longLived_shuttle" 1 "erect" 0 1 NA "monoicous" "rare" 16.7 NA 20 21 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 1 NA 0 NA NA NA NA NA 3 NA NA 0 NA NA 5 NA 8.75 2448.15 20 585 1150
"Adelanthus lindenbergianus" "Adelanthus lindenbergianus (Lehm.) Mitt." "SPECIES" "accepted" "Adelanthus lindenbergianus (Lehm.) Mitt." "Adelanthus" "Adelanthaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "EN" "NOT_EVALUATED" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "foliose" "turf" "perennial" 0 "erect" 0 NA NA "dioicous" NA 16.7 NA 100 13 1 NA 1 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA 2 NA NA 0 NA NA 6 NA 9.35 1914.75 350 505 660
"Alleniella besseri" "Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Alleniella besseri (Lobarz.) S.Olsson, Enroth & D.Quandt" "Alleniella" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 NA "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 NA 50 14 1 NA 0 0 0 0 1 NA 1 0 1 0 0 1 15 0 0 4 0 0 0 7 0 1 0 0 0 0 0 0 5 3 9 4 4 NA 3 4 4 2 5.65 712.6 200 950 1700
"Alleniella complanata" "Alleniella complanata (Hedw.) S.Olsson, Enroth & D.Quandt" "SPECIES" "accepted" "Alleniella complanata (Hedw.) S.Olsson, Enroth & D.Quandt" "Alleniella" "Neckeraceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 10 50 20 1 NA 0 0 0 0 1 NA 1 1 35 0 8 13 108 0 3 54 1 3 1 320 1 42 0 0 0 0 0 0 4 3 7 NA 6 0 3 4 4 2 6.55 701.2 0 935 1870
"Aloina aloides" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "SPECIES" "accepted" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "EN" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 NA "acrocarpous" "turf" "colonist" 0 NA NA NA NA "dioicous" "common" 6.7 NA 5 18 0 NA 0 0 0 0 0 NA 1 0 13 1 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 9 5 3 0 6 4 7 4 10.05 798 0 400 800
"Aloina aloides aggr." "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "AGGREGATE" "accepted" "Aloina aloides (W.D.J.Koch ex Schultz) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle EN" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 NA "acrocarpous" "turf" "colonist" 0 NA NA NA NA "dioicous" "common" 6.7 NA 5 18 0 NA 0 0 0 0 0 NA 1 0 13 1 0 0 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 9 5 3 0 6 4 7 4 10.05 798 0 400 800
"Aloina ambigua" "Aloina ambigua (Bruch & Schimp.) Limpr." "SPECIES" "accepted" "Aloina ambigua (Bruch & Schimp.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 NA NA "acrocarpous" "annual" "colonist" 0 NA 1 1 0 "dioicous" "common" 6.7 NA 4.25 16 0 NA 0 0 0 0 0 NA 1 1 6 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 2 8 5 5 0 6 4 7 4 9.65 706 10 1055 2100
"Aloina bifrons" "Aloina bifrons (De Not.) Delgad." "SPECIES" "accepted" "Aloina bifrons (De Not.) Delgad." "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "colonist" 0 NA NA NA NA "dioicous" "common" 6.7 NA 5.5 16 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 14.75 427.6 3 451.5 900
