"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Head_length_mm" "Eye_diameter_mm" "Interorbital_dist_mm" "Internarial_dist_mm" "Eye_nostril_dist_mm" "MISSING_ALL_TRAITS"
"Bufo bufo" "Bufo bufo (Linnaeus, 1758)" "SPECIES" "accepted" "Bufo bufo (Linnaeus, 1758)" "Bufo" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 13999700 164.75 150 7666 "Oviparous" 3.5 NA 40 "Crepuscular" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 6 NA 0.004741706 0.123999061 0.042595557 0.010485951 6.069006163 637.8544254 9069.015891 34.95859237 295.8075773 NA 20.4 7.48866666668 10.1 3.5 4.85 "NO"
"Bufo calamita" "Bufo calamita Laurenti, 1768" "SPECIES" NA "unresolved_accepted_3154" "Bufo" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA NA NA NA NA "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 4328896 57.16 100.5035 5627.76 "Oviparous" 2.8 NA 19.984 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.51 6.28 NA 0.00628772388 0.1614630418 0.06051392746 0.0240110236 11.7172463702 649.82500444 7418.33415298 40.1356507092 496.537257968 NA 19.3462 6.138 8.261 4.2304 4.2558 "YES"
"Bufo fuscus" "Bufo fuscus Laurenti, 1768" "SPECIES" "homotypic synonym" "Pelobates fuscus (Laurenti, 1768)" "Pelobates" "Pelobatidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "No" NA "LC" "REGIONALLY_EXTINCT" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 5868500 29.4 80 1522.5 "Oviparous" 1.75 NA 11 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 6 NA 0.005227608 0.195799027 0.061156586 0.048125575 7.267307957 567.8105901 9332.105609 29.16975517 204.1900258 NA 17.35146666652 5.25800000002 6.1246 3.4932 4.0576 "NO"
"Bufo laevis" "Bufo laevis Daudin, 1802" "SPECIES" "homotypic synonym" "Xenopus laevis (Daudin, 1802)" "Xenopus" "Pipidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "No" NA NA "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 5904800 130 147 9750 "Oviparous" 2 NA 30.3 "Nocturnal" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.75 7 NA 0.003137743 0.066313996 0.082191185 0.243667528 20.7285848 719.2552315 3368.228951 87.79585858 952.1931398 NA 20.3756 7.696 12.001 5.152 4.622 "NO"
"Bufo mauritanicus" "Bufo mauritanicus Schlegel, 1841" "SPECIES" "synonym" "Sclerophrys mauritanica (Schlegel, 1841)" "Sclerophrys" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "No" NA NA "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "1" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 1149500 74.8298 150 10000 "Oviparous" 2.75 NA 13.384 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 4 NA 0.004155155 0.174051565 0.022226318 0.080620484 17.70791686 315.443393 6531.651013 54.00151454 776.6112487 NA 20.1541 7.05933333334 10.3994 5.5768 4.5332 "NO"
"Bufo obstetricans" "Bufo obstetricans Laurenti, 1768" "SPECIES" "homotypic synonym" "Alytes obstetricans (Laurenti, 1768)" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" "INN" "Yes" "VU" "LC" "ENDANGERED" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 1464100 13.4 55 112 "Oviparous" 2.5 NA 7 "Crepuscular" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 4 NA 0.009517399 0.182062376 0.07192912 0 11.45776085 834.4608864 5628.775446 23.38487004 445.6897747 NA 12.6 5.1 3.8 3.4 3.3 "NO"
"Bufo viridis" "Bufo viridis Laurenti, 1768" "SPECIES" "heterotypic synonym" "Bufotes viridis (Laurenti, 1768)" "Bufotes" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" "INN" "No" "RE" "LC" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 4815800 57.865 95.24 21805 "Oviparous" 2 NA 15 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.5 6 NA 0.005580011 0.20294324 0.066434329 0.025176965 8.414838934 631.908418 8562.91588 29.30653427 255.0593118 NA 20.29 7.1 11.0098 4.31 5.48 "NO"
"Bufotes viridis" "Bufotes viridis (Laurenti, 1768)" "SPECIES" "accepted" "Bufotes viridis (Laurenti, 1768)" "Bufotes" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "SPEED2ZERO" "INN" "No" "RE" "LC" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 4815800 40.73 70.48 21805 "Oviparous" 2 NA 15 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.5 6 NA 0.005580011 0.20294324 0.066434329 0.025176965 8.414838934 631.908418 8562.91588 29.30653427 255.0593118 NA 20.29 7.1 10.5934 4.31 5.48 "NO"
"Calotriton arnoldi" "Calotriton arnoldi Carranza & Amat, 2005" "SPECIES" "accepted" "Calotriton arnoldi Carranza & Amat, 2005" "Calotriton" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "CR" "CRITICALLY_ENDANGERED" "0" "1" "0" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 12100 25.24 102 20 "Oviparous" 4.17 NA 14.42 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 2 NA 0.035787302 0.06097775 0.019592219 0 12.7455159 771.8819559 5756.516622 23.14224169 425.3544772 NA 15.375 4.87 4.92 2.515 4.2746 "NO"
"Calotriton asper" "Calotriton asper (Dugès, 1852)" "SPECIES" "accepted" "Calotriton asper (Dugès, 1852)" "Calotriton" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "NT" "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "0" "0" "0" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 121000 7.1 160 25 "Oviparous" 3 NA 26 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 3 NA 0.009722856 0.168212966 0.062449521 0 11.64794494 926.7620088 5703.890661 20.89912419 616.9969724 NA 12.89639999978 4.5298 4.9912 3.69323333334 3.324 "NO"
"Chioglossa lusitanica" "Chioglossa lusitanica Bocage, 1864" "SPECIES" "accepted" "Chioglossa lusitanica Bocage, 1864" "Chioglossa" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "VU" "NEAR_THREATENED" "1" "1" "0" "0" "1" "1" "0" "0" "0" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 145200 4.2 160 20 "Oviparous" 4.25 NA 8 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 3 NA 0.011853788 0.059380342 0.051669096 0 12.81409185 1245.136095 4276.352739 44.89272432 421.5857738 NA 10.1133333315 4.454 4.9576 3.80703333334 4.1478 "NO"
"Discoglossus galganoi" "Discoglossus galganoi Capula, Nascetti, Lanza, Bullini & Crespo, 1985" "SPECIES" "accepted" "Discoglossus galganoi Capula, Nascetti, Lanza, Bullini & Crespo, 1985" "Discoglossus" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "1" "0" "0" "1" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 471900 21.8 80 900 "Oviparous" 4 NA 9 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.25 4 NA 0.006625029 0.17403268 0.077325737 0 14.18777513 797.4344838 5466.805096 47.2099643 511.3019448 NA 16.08386666652 5.16333333334 4.22 3.89923333334 4.456 "NO"
