species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Foraging_strata BMR gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Abrocoma uspallata" Abrocoma Abrocomidae Rodentia 245.8 175.3 NA Viviparous NA NA NA Diurnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0.000660263 0.003531987 0 0.379523116 2.750610329 171.3281103 5750.541725 59.58779343 3125.438762 0.393 12100 DATA_DEFICIENT 1 NA "Abrocoma uspallata Braun & Mares, 2002" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abrocoma vaccarum" Abrocoma Abrocomidae Rodentia 254.3 191 1.995 Viviparous NA NA 1.08333424657534 Nocturnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0.000660263 0.003531987 0 0.379523116 2.750610329 171.3281103 5750.541725 59.58779343 3125.438762 0.463 12100 DATA_DEFICIENT 1 NA "Abrocoma vaccarum Thomas, 1921" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abrothrix andinus" Abrothrix Cricetidae Rodentia 18 90 6 Viviparous NA NA NA Diurnal Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0.001577695 0.018933956 0.075604759 0.267667753 5.709237438 308.0319797 2978.593611 113.4312721 3719.379169 0.167 980100 LEAST_CONCERN 1 47.045 "Abrothrix andinus (Philippi, 1858)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix hershkovitzi" Abrothrix Cricetidae Rodentia 34.9 110 NA Viviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000475994 0.000101004 0.00030199 0.003550633 4.284642505 1070.39221 2418.410437 11.35158886 189.4450732 NA 145200 NA NA NA "Abrothrix hershkovitzi (Patterson, Gallardo & Freas, 1984)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix illutea" Abrothrix Cricetidae Rodentia 47.8 NA NA Viviparous NA NA NA Cathemeral Herbivorous 1 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 0.199 NA NA 1 NA "Abrothrix illuteus Thomas, 1925" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix illuteus" Abrothrix Cricetidae Rodentia 47.8 140 NA Viviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.002832038 0.070307295 0.022154814 0.102804737 14.57606877 705.0729934 4180.637453 93.29856661 1568.289888 NA 108900 LEAST_CONCERN NA NA "Abrothrix illuteus Thomas, 1925" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix jelskii" Abrothrix Cricetidae Rodentia 34.5 140 NA Viviparous NA NA NA Cathemeral Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 4 5 0.001897024 0.051481584 0.188472437 0.266433573 7.432253927 634.3869461 1816.847152 101.7118311 3759.857606 0.166 847000 LEAST_CONCERN 1 NA "Abrothrix jelskii (Thomas, 1894)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix lanosus" Abrothrix Cricetidae Rodentia 32.5 140 NA Viviparous NA NA NA Nocturnal Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0.000120474 0.001447663 0.002266214 0.057165009 5.075849722 660.4559523 2942.943733 15.72741988 235.4527098 0.142 157300 LEAST_CONCERN 1 45.6 "Abrothrix lanosus (Thomas, 1897)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix longipilis" Abrothrix Cricetidae Rodentia 37.6 186.64 4.2725 Viviparous 0.17261095890411 0.307671232876712 NA Nocturnal Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 4 5 0.00136218 0.015020735 0.019528908 0.123501501 8.327172306 681.8794537 4542.029023 49.70165392 828.4182792 0.419 1101100 LEAST_CONCERN 1 57.5 "Abrothrix longipilis (Waterhouse, 1837)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix manni" Abrothrix Cricetidae Rodentia NA NA NA Viviparous NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.001287833 0.053671284 0.058996765 0.003670413 10.02004727 1872.544139 3524.31169 52.66213761 427.1051651 NA 157300 LEAST_CONCERN NA NA "Abrothrix manni D'Elia, Teta, Upham, Pardinas & Patterson, 2015" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
