"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Chaetosphaeria preussii" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chaetosphaeria preussii W.Gams & Hol.-Jech." "SPECIES" "Chaetosphaeria" "Chaetosphaeriaceae" "Chaetosphaeriales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Chaetosphaeria pulviscula" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Menispora caesia Preuss" "SPECIES" "Menispora" "Chaetosphaeriaceae" "Chaetosphaeriales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Chaetosphaeria tortuosa" NA "ostiolar" "ascohymenial" "poricidal" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Chaetosphaeria tortuosa Réblová, Seifert & G.P.White" "SPECIES" "Chaetosphaeria" "Chaetosphaeriaceae" "Chaetosphaeriales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Chaetosphaeria vermicularioides" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chaetosphaeria vermicularioides (Sacc. & Roum.) W.Gams & Hol.-Jech." "SPECIES" "Chaetosphaeria" "Chaetosphaeriaceae" "Chaetosphaeriales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Chalara elegans" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "roots_rhizomes" NA NA "Berkeleyomyces basicola (Berk. & Broome) W.J.Nel, Z.W.de Beer, T.A.Duong & M.J.Wingf." "SPECIES" "Berkeleyomyces" "Ceratocystidaceae" "Microascales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Chalara lichenicola" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Chalara lichenicola M.S.Christ." "SPECIES" "Chalara" "Pezizellaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chalara lobariae" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Chalara lobariae Etayo" "SPECIES" "Chalara" "Pezizellaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chalciporus amarellus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chalciporus piperatus (Bull.) Bataille" "SPECIES" "Chalciporus" "Boletaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chalciporus piperatus" "saprobe" NA NA NA 43.3 5.75 NA 8.785 NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chalciporus piperatus (Bull.) Bataille" "SPECIES" "Chalciporus" "Boletaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chalciporus pseudorubinus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chalciporus pseudorubinus (Thirring) Pilát & Dermek" "SPECIES" "Chalciporus" "Boletaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chalciporus rubinus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chalciporus rubinus (W.G.Sm.) Singer" "SPECIES" "Chalciporus" "Boletaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "VULNERABLE"
"Chamaemyces demisannula" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chamaemyces fracidus (Fr.) Donk" "SPECIES" "Chamaemyces" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chamaemyces fracidus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chamaemyces fracidus (Fr.) Donk" "SPECIES" "Chamaemyces" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chamaemyces pseudocastaneus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chamaemyces pseudocastaneus (Bon & Boiffard) Contu" "SPECIES" "Chamaemyces" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chamonixia caespitosa" "ectomycorrhiza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chamonixia caespitosa Rolland" "SPECIES" "Chamonixia" "Boletaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Cheilymenia aurantiacorubra" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia aurantiacorubra K.S.Thind & S.C.Kaushal" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia chionophila" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia chionophila T.Schumach." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia coprinaria" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia coprinaria (Cooke) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia crassistriata" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia crassistriata (J.Moravec) J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia fimicola" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia fimicola (Bagl.) Dennis" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia fraudans" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia fraudans (P.Karst.) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia glumarum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "tree_cones" NA NA NA NA NA NA NA NA NA NA
"Cheilymenia granulata" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia granulata (Bull.) J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia insignis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia insignis (P.Crouan & H.Crouan) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia karstenii" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia karstenii J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia laevispora" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia laevispora Dougoud" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia liskae" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia liskae J.Moravec, R.Fellner & Landa" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia magnipila" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia magnipila J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia micropila" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia micropila Svrček & J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia oligotricha" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia oligotricha (P.Karst.) J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia polaripustulata" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia polaripustulata J.Moravec" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia pseudohumarioides" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia pseudohumarioides Dissing, J.Moravec & Sivertsen" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia pulcherrima" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia pulcherrima (P.Crouan & H.Crouan) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia raripila" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia raripila (W.Phillips) Dennis" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia rubra" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia rubra (Roum.) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia stercorea" "saprobe" "exposed_hymenium" "ascohymenial" "operculate" NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "dung" NA NA "Cheilymenia stercorea (Pers.) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia theleboloides" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Cheilymenia theleboloides (Alb. & Schwein.) Boud." "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheilymenia vitellina" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Cheilymenia vitellina (Pers.) Dennis" "SPECIES" "Cheilymenia" "Pyronemataceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Cheimonophyllum candidissimum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Cheimonophyllum candidissimum (Berk. & M.A.Curtis) Singer" "SPECIES" "Cheimonophyllum" "Cyphellaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Cheiromycella microscopica" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Eupezizella aureliella (P.Karst.) T.Kosonen, Huhtinen & K.Hansen" "SPECIES" "Eupezizella" "Hyaloscyphaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chionosphaera coppinsii" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Crittendenia coppinsii (P.Roberts) Diederich, M.Westb., Millanes & Wedin" "SPECIES" "Crittendenia" "Crittendeniaceae" "Agaricostilbales" "Agaricostilbomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chitonomyces aculeiferus" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces aculeiferus Speg." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces bidessarius" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces bidessarius (Thaxt.) Thaxt." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces ceratomycetalis" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces ceratomycetalis Thaxt." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces hydropori" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces hydropori Thaxt." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces italicus" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces italicus Speg." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces melanurus" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces melanurus Peyr." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chitonomyces paradoxus" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "animal_n_other" NA NA "Chitonomyces paradoxus (Peyr.) Thaxt." "SPECIES" "Chitonomyces" "Laboulbeniaceae" "Laboulbeniales" "Laboulbeniomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorencoelia versiformis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chlorencoelia versiformis (Pers.) J.R.Dixon" "SPECIES" "Chlorencoelia" "Cenangiaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorociboria aeruginascens" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chlorociboria aeruginascens (Nyl.) Kanouse" "SPECIES" "Chlorociboria" "Chlorociboriaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorociboria aeruginosa" "saprobe" "exposed_hymenium" "ascohymenial" "poricidal" NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chlorociboria aeruginosa (Oeder) Seaver" "SPECIES" "Chlorociboria" "Chlorociboriaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorophyllum brunneum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chlorophyllum brunneum (Farl. & Burt) Vellinga" "SPECIES" "Chlorophyllum" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chlorophyllum molybdites" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chlorophyllum molybdites (G.Mey.) Massee" "SPECIES" "Chlorophyllum" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chlorophyllum olivieri" "saprobe" NA NA NA NA NA NA NA NA NA NA NA 6.3 9.5 197.425536333217 10000 1 0 NA 0 0 "soil_peat" NA NA "Chlorophyllum olivieri (Barla) Vellinga" "SPECIES" "Chlorophyllum" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chlorophyllum rhacodes" "saprobe" NA NA NA NA NA NA NA NA NA NA NA 7.15 10.4 278.002675508814 9312.5 1 0 NA 0 0 "soil_peat" NA NA "Chlorophyllum rhacodes (Vittad.) Vellinga" "SPECIES" "Chlorophyllum" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chlorophyllum venenatum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Macrolepiota venenata Bon" "SPECIES" "Macrolepiota" "Agaricaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chloroscypha alutipes" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chloroscypha alutipes (W.Phillips) Dennis" "SPECIES" "Chloroscypha" "Gelatinodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chloroscypha cryptomeriae" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chloroscypha cryptomeriae Terrier" "SPECIES" "Chloroscypha" "Gelatinodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chloroscypha enterochroma" NA "exposed_hymenium" "ascohymenial" "poricidal" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Chloroscypha enterochroma (Peck) Petrini" "SPECIES" "Chloroscypha" "Gelatinodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chloroscypha sabinae" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chloroscypha sabinae (Fuckel) Dennis" "SPECIES" "Chloroscypha" "Gelatinodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chloroscypha seaveri" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chloroscypha seaveri Rehm ex Seaver" "SPECIES" "Chloroscypha" "Gelatinodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorosplenium cenangium" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chlorosplenium cenangium (De Not.) Korf" "SPECIES" "Chlorosplenium" "Chlorospleniaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chlorosplenium sericeum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Aeruginoscyphus sericeus (Alb. & Schwein.) Dougoud" "SPECIES" "Aeruginoscyphus" "Hyaloscyphaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Choiromyces maeandriformis" "ectomycorrhiza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA NA NA NA NA NA NA NA NA
"Choiromyces magnusii" "ectomycorrhiza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Terfezia magnusii Mattir." "SPECIES" "Terfezia" "Pezizaceae" "Pezizales" "Pezizomycetes" "Ascomycota" "NOT_EVALUATED"
"Chondrostereum purpureum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chondrostereum purpureum (Pers.) Pouzar" "SPECIES" "Chondrostereum" "Cyphellaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Christiansenia mycetophila" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Syzygospora mycetophila (Peck) Ginns" "SPECIES" "Syzygospora" "Filobasidiaceae" "Filobasidiales" "Tremellomycetes" "Basidiomycota" "NOT_EVALUATED"
"Christiansenia pallida" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Syzygospora pallida (Hauerslev) Ginns" "SPECIES" "Syzygospora" "Filobasidiaceae" "Filobasidiales" "Tremellomycetes" "Basidiomycota" "NOT_EVALUATED"
"Christiansenia tumefaciens" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "fungi" NA NA "Syzygospora tumefaciens (Ginns & Sunhede) Ginns" "SPECIES" "Syzygospora" "Filobasidiaceae" "Filobasidiales" "Tremellomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chromocyphella galeata" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA NA NA NA NA NA NA NA NA
"Chromocyphella muscicola" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Chromocyphella muscicola (Fr.) Donk" "SPECIES" "Chromocyphella" "Chromocyphellaceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chromosera citrinopallida" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chromosera citrinopallida (A.H.Sm. & Hesler) Vizzini & Ercole" "SPECIES" "Chromosera" "Hygrophoraceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chromosera cyanophylla" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chromosera cyanophylla (Fr.) Redhead, Ammirati & Norvell" "SPECIES" "Chromosera" "Hygrophoraceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chroogomphus fulmineus" "ectomycorrhiza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chroogomphus fulmineus (R.Heim) Courtec." "SPECIES" "Chroogomphus" "Gomphidiaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chroogomphus helveticus" "ectomycorrhiza" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 0 NA 0 0 "soil_peat" NA NA "Chroogomphus helveticus (Singer) M.M.Moser" "SPECIES" "Chroogomphus" "Gomphidiaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chroogomphus rutilus" "ectomycorrhiza" NA NA NA 45.5 2.55 NA 20.83 NA NA 2.8 NA 6.3 18.5 384.460254964685 2500 1 0 NA 0 0 "soil_peat" NA NA "Chroogomphus rutilus (Schaeff.) O.K.Mill." "SPECIES" "Chroogomphus" "Gomphidiaceae" "Boletales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysodisca peziculoides" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chrysodisca peziculoides Baral, Polhorský & G.Marson" "SPECIES" "Chrysodisca" "Chrysodiscaceae" "Helotiales" "Leotiomycetes" "Ascomycota" "NOT_EVALUATED"
"Chrysomphalina chrysophylla" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chrysomphalina chrysophylla (Fr.) Clémençon" "SPECIES" "Chrysomphalina" "Hygrophoraceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomphalina grossula" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Chrysomphalina grossula (Pers.) Norvell, Redhead & Ammirati" "SPECIES" "Chrysomphalina" "Hygrophoraceae" "Agaricales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomyxa abietis" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chrysomyxa abietis (Wallr.) Unger" "SPECIES" "Chrysomyxa" "Coleosporiaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomyxa arctostaphyli" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chrysomyxa arctostaphyli Dietel" "SPECIES" "Chrysomyxa" "Coleosporiaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomyxa empetri" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chrysomyxa empetri (Pers.) J.Schröt." "SPECIES" "Chrysomyxa" "Coleosporiaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomyxa ledi" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Chrysomyxa ledi (Alb. & Schwein.) de Bary" "SPECIES" "Chrysomyxa" "Coleosporiaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
"Chrysomyxa pyrolata" "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Rossmanomyces pyrolae (Rostr.) Aime & McTaggart" "SPECIES" "Rossmanomyces" "Coleosporiaceae" "Pucciniales" "Pucciniomycetes" "Basidiomycota" "NOT_EVALUATED"
