"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Acanthohelicospora scopula" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Acanthohelicospora scopula (Peck) Rossman & W.C.Allen" "SPECIES" "Acanthohelicospora" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Acanthonitschkea tristis" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Acanthonitschkea tristis (J.Kickx f.) Nannf." "SPECIES" "Acanthonitschkea" "Nitschkiaceae" "Coronophorales" "Sordariomycetes" "Ascomycota" "NOT_EVALUATED"
"Acanthophiobolus helicosporus" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "above_litter" NA NA "Acanthophiobolus helicosporus (Berk. & Broome) J.Walker" "SPECIES" "Acanthophiobolus" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Acanthophysellum minor" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Acanthophysellum minor (Pilát) Sheng H.Wu, Boidin & C.Y.Chien" "SPECIES" "Acanthophysellum" "Stereaceae" "Russulales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Acanthostigma revocatum" "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Acanthostigma revocatum Sacc." "SPECIES" "Acanthostigma" "Tubeufiaceae" "Tubeufiales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora laqueata" NA "ostiolar" "ascohymenial" "fissitunicate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Acarospora laqueata (Stizenb.) Stizenb. ex Flagey" "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarospora schleicheri" NA "exposed_hymenium" "ascohymenial" "rostrate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Acarospora schleicheri (Ach.) A.Massal." "SPECIES" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acarosporina microspora" NA "exposed_hymenium" "ascohymenial" "non_poricidal" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA "Acarosporina microspora (R.W.Davidson & R.C.Lorenz) Sherwood" "SPECIES" "Acarosporina" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "NOT_EVALUATED"
"Acaulospora alpina" NA NA NA NA NA NA NA NA NA NA NA NA 44 44 44602.2381005655 NA NA NA NA NA 0 NA NA NA "Acaulospora alpina Oehl, Sýkorová & Sieverd." "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora brasiliensis" NA NA NA NA NA NA NA NA NA NA NA NA 43 49 47438.5726679815 NA NA NA NA NA 0 NA NA NA "Acaulospora brasiliensis (B.T.Goto, L.C.Maia & Oehl) C.Walker, M.Krüger & A.Schüssler" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
