species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Head_length_mm Eye_diameter_mm Interorbital_dist_mm Internarial_dist_mm Eye_nostril_dist_mm gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Adelophryne baturitensis" Adelophryne Eleutherodactylidae Anura NA 16.3 3.5 Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.00598895 0.029384303 0.114944405 0.027744571 26.98282504 856.4273741 701.8417958 105.8400206 211.5090758 NA 36300 LEAST_CONCERN NA NA NA NA NA "Adelophryne baturitensis Hoogmoed, Borges & Cascon, 1994" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne glandulata" Adelophryne Brachycephaloidea NA NA 11.35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 1.75 1.9 1.6 0.95 "Adelophryne glandulata Lourenço de Moraes, Ferreira, Fouquet & Bastos, 2014" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne gutturosa" Adelophryne Eleutherodactylidae Anura NA 16 1 Oviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000203906 0.005532818 0.000689927 0.031733442 25.02651228 2210.800937 810.0971051 57.36429046 273.0313726 NA 508200 LEAST_CONCERN NA NA NA NA NA "Adelophryne gutturosa Hoogmoed & Lescure, 1984" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne maranguapensis" Adelophryne Eleutherodactylidae Anura 0.81 17.4 5.5 Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.044506697 0.06129683 0.043896996 0 27.04308976 1204.720899 397.4584847 94.50248957 57.05600694 NA 12100 CRITICALLY_ENDANGERED NA NA NA NA NA "Adelophryne maranguapensis Hoogmoed, Borges & Cascon, 1994" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Adelophryne meridionalis" Adelophryne Brachycephaloidea NA NA 9.854285714 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.043389838 0.208605886 0.321128912 0.009887409 21.13138558 1451.2829 2031.496599 72.40574776 715.4095273 NA 24200 LEAST_CONCERN 3.96 1.237142857 1.401428571 1.442857143 1.358571429 "Adelophryne meridionalis Santana, Fonseca, Neves & Carvalho, 2012" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne michelin" Adelophryne Brachycephaloidea NA NA 9.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.45 1.1 1.45 1.1 0.9 "Adelophryne michelin Lourenço-de-Moraes, Dias, Mira-Mendes, Oliveira, Barth, Ruas, Vences, Solé & Bastos, 2018" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Adelophryne mucronata" Adelophryne Brachycephaloidea NA NA 13.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.1 1.85 2.3 1.9 1.25 "Adelophryne mucronata Lourenço-de-Moraes, Solé & Toledo, 2012" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne mucronatus" Adelophryne Eleutherodactylidae Anura NA 14.9 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.009934642 0.102949688 0.043251854 0 23.88650474 1334.671493 1330.771255 23.61895496 216.2801083 NA 24200 LEAST_CONCERN NA NA NA NA NA "Adelophryne mucronata Lourenço-de-Moraes, Solé & Toledo, 2012" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne pachydactyla" Adelophryne Eleutherodactylidae Anura NA 11.1 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.009634283 0.156215939 0.076684908 0.009849642 23.89467789 1346.266812 1300.750869 21.50245145 262.1981147 NA 36300 LEAST_CONCERN NA NA NA NA NA "Adelophryne pachydactyla Hoogmoed, Borges & Cascon, 1994" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne patamona" Adelophryne Eleutherodactylidae Anura NA 23 NA NA NA NA NA Crepuscular NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000239729 0.005598009 0.001340184 0.023785963 22.03745579 2141.276008 518.9253449 44.99493002 801.5227073 NA 24200 DATA_DEFICIENT NA NA NA NA NA "Adelophryne patamona MacCulloch, Lathrop, Kok, Minter, Khan & Barrio-Amoros, 2008" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata DATA_DEFICIENT
