species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Head_length_mm Eye_diameter_mm Interorbital_dist_mm Internarial_dist_mm Eye_nostril_dist_mm gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Centrolene medemi" Centrolene Centrolenidae Anura NA 26.1 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003973887 0.032226899 0.301891561 0.000568049 18.90011764 2109.020755 440.6436785 32.81165109 1478.932774 NA 36300 ENDANGERED 8.6 NA NA NA NA "Centrolene medemi (Cochran & Goin, 1970)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata ENDANGERED
"Centrolene muelleri" Centrolene Centrolenidae Anura NA 23.5 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001674212 0.040461747 0.017738802 0 17.82262397 1501.86584 590.6053719 25.97121212 1690.254167 NA 12100 DATA_DEFICIENT 7.3 2.6 3 NA NA "Centrolene muelleri Duellman & Schulte, 1993" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata DATA_DEFICIENT
"Centrolene notostictum" Centrolene Centrolenidae Anura NA 24.9 20 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003399002 0.055519273 0.390999996 0 20.29837265 2028.082202 348.1605935 39.69163136 1340.614866 NA 108900 LEAST_CONCERN NA NA NA NA NA "Centrolene notostictum Ruiz-Carranza & Lynch, 1991" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolene paezorum" Centrolene Centrolenidae Anura NA 44.5 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003048938 0.044865501 0.364938386 0 14.94576389 1936.032639 230.055 34.78979167 2288.877431 NA 12100 DATA_DEFICIENT NA NA NA NA NA "Centrolene paezorum Ruiz-Carranza, Hernández-Camacho & Ardila-Robayo, 1986" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata DATA_DEFICIENT
"Centrolene peristicta" Centrolene Centrolenidae NA NA 20.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Centrolene peristictum (Lynch & Duellman, 1973)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolene peristictum" Centrolene Centrolenidae Anura NA 20.6 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.005642768 0.047299718 0.169652266 0.000995475 20.07590094 3554.364135 231.3881876 27.2134965 1254.539173 NA 157300 LEAST_CONCERN NA NA NA NA NA "Centrolene peristictum (Lynch & Duellman, 1973)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolene petrophilum" Centrolene Centrolenidae Anura NA 38 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001516543 0.061433662 0.36633713 0.121800605 22.49040797 2600.936629 592.018715 58.43704727 899.0132509 NA 24200 ENDANGERED NA NA NA NA NA "Centrolene petrophilum Ruiz-Carranza & Lynch, 1991" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata ENDANGERED
"Centrolene pipilata" Centrolene Centrolenidae NA NA 21.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Centrolene pipilatum (Lynch & Duellman, 1973)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Centrolene pipilatum" Centrolene Centrolenidae Anura NA 23.1 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000998639 0.034226335 0.051948118 0.000878436 17.61736806 1669.449722 392.5102778 26.16194444 1719.002813 NA 12100 CRITICALLY_ENDANGERED NA NA NA NA NA "Centrolene pipilatum (Lynch & Duellman, 1973)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Centrolene quindianum" Centrolene Centrolenidae Anura NA 26.6 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007484064 0.051471453 0.331505137 0.000252561 17.10405067 2176.182796 240.4840965 32.77881093 1955.187714 NA 72600 VULNERABLE NA NA NA NA NA "Centrolene quindianum Ruiz-Carranza & Lynch, 1995" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata VULNERABLE
"Centrolene robledoi" Centrolene Centrolenidae Anura NA 25.9 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.010908834 0.034683847 0.335405287 0.00000149112 18.92784294 2536.013159 293.6349247 36.71932302 1558.596882 NA 84700 LEAST_CONCERN NA NA NA NA NA "Centrolene robledoi Ruiz-Carranza & Lynch, 1995" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolene sabini" Centrolene Centrolenidae NA 1.717 30.525 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000260107 0.020841688 0.090904457 0.003710325 16.74010163 1946.339499 1070.649729 51.38360434 1935.156165 NA 12100 VULNERABLE 8.225 3.25 2.85 2.1 1.7 "Centrolene sabini Catenazzi, Von May, Lehr, Gagliardi-Urrutia & Guayasamin, 2012" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata VULNERABLE
"Centrolene sanchezi" Centrolene Centrolenidae Anura NA 20.7 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001285385 0.093836049 0.282247964 0 22.07191962 3034.997437 525.6731295 34.50429119 785.7502394 NA 24200 ENDANGERED NA NA NA NA NA "Centrolene sanchezi Ruiz-Carranza & Lynch, 1991" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata ENDANGERED
"Centrolene savagei" Centrolene Centrolenidae Anura NA 23.9 20 NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.006148392 0.052750929 0.241854335 0.0000710851 19.96475306 2939.306579 251.3377616 29.14591744 1373.47729 NA 96800 LEAST_CONCERN 7.9 2.1 3.3 NA NA "Centrolene savagei (Ruiz-Carranza & Lynch, 1991)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolene scirtetes" Centrolene Centrolenidae Anura NA 26.1 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003926117 0.039568675 0.063082745 0.002681253 21.92920905 3337.569477 282.7122172 30.12300968 753.1354773 NA 24200 ENDANGERED NA NA NA NA NA "Centrolene scirtetes (Duellman & Burrowes, 1989)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata ENDANGERED
"Centrolene solitaria" Centrolene Centrolenidae Anura NA 19.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000940109 0.138708112 0.257433732 0 24.23124306 3639.648542 575.7390972 35.74465278 319.9143056 NA 12100 ENDANGERED 5.4 2.1 2.55 NA NA "Centrolene solitaria (Ruiz-Carranza & Lynch, 1991)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata ENDANGERED
"Centrolene venezuelense" Centrolene Centrolenidae Anura NA 33.8 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007604625 0.069702915 0.130541891 0.001122941 20.57413612 1615.186866 489.4972211 45.33038939 1194.509533 NA 60500 LEAST_CONCERN NA NA NA NA NA "Centrolene venezuelense (Rivero, 1968)" SPECIES Centrolene Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Centrolenella geijskesi" Centrolenella Centrolenidae NA NA 36.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12.2 NA NA NA NA "Cochranella geijskesi (Goin, 1966)" SPECIES Cochranella Centrolenidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratobatrachus guentheri" Ceratobatrachus Ceratobatrachidae Anura 26.7 85 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.0001603 0.005466361 0.000450547 0 25.71272959 3269.713152 368.3467019 22.07649745 61.78132987 NA 242000 LEAST_CONCERN NA NA NA NA NA "Cornufer guentheri (Boulenger, 1884)" SPECIES Cornufer Ceratobatrachidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys aurita" Ceratophrys Ceratophryidae Anura 24.85 149 NA Oviparous NA NA 12.8 Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 NA 0.016016541 0.147908835 0.199514389 0.022847759 21.53716714 1328.503413 2040.306135 55.60834629 548.2011231 NA 1052700 LEAST_CONCERN NA NA NA NA NA "Ceratophrys aurita (Raddi, 1823)" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys calcarata" Ceratophrys Ceratophryidae Anura 55.5 79 NA Oviparous NA NA 15.9 Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 7 NA 0.004230953 0.05913418 0.251312646 0.025319082 25.4170932 1249.139443 563.5875232 59.1749312 304.5836947 NA 350900 LEAST_CONCERN NA NA NA NA NA "Ceratophrys calcarata Boulenger, 1890" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys cornuta" Ceratophrys Ceratophryidae Anura 130 120 1385 Oviparous NA NA 10.3 Cathemeral Carnivorous 1 1 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.000283365 0.012709983 0.005719223 0.015583715 24.99923276 2384.871445 610.0343095 47.35020376 190.9947428 NA 5844300 LEAST_CONCERN NA NA NA NA NA "Ceratophrys cornuta (Linnaeus, 1758)" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys cranwelli" Ceratophrys Ceratophryidae Anura 620 158 3696 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 4 NA 0.00068442 0.115268226 0.024352148 0.082646296 22.4427466 949.7836666 3738.777391 58.09452759 178.0427762 NA 1161600 LEAST_CONCERN NA NA NA NA NA "Ceratophrys cranwelli Barrio, 1980" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys joazeirensis" Ceratophrys Ceratophryidae Anura NA 105 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 4 NA 0.002921442 0.045134116 0.106472449 0.124808482 25.96053354 607.7902334 1398.747569 85.33907372 486.2210432 NA 121000 LEAST_CONCERN 29 NA 9.15 7.34 7.316666667 "Ceratophrys joazeirensis Mercadal de Barrio, 1986" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Ceratophrys ornata" Ceratophrys Ceratophryidae Anura 165.28 112.4 NA Oviparous NA NA 14.7 Nocturnal Carnivorous 0 1 NA 0 0 0 0 1 1 0 0 0 0.25 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003812841 0.362554409 0.047336375 0.120266135 16.14690467 898.4067197 5004.378137 37.98367635 99.62381945 NA 834900 NEAR_THREATENED NA NA NA NA NA "Ceratophrys ornata (Bell, 1843)" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata NEAR_THREATENED
"Ceratophrys stolzmanni" Ceratophrys Ceratophryidae Anura 43.8 77.5 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 NA 0.008416606 0.098871226 0.084046452 0 22.68180324 699.8259009 735.7853335 114.7362762 367.3408878 NA 60500 VULNERABLE NA NA NA NA NA "Ceratophrys stolzmanni Steindachner, 1882" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata VULNERABLE
"Ceratophrys testudo" Ceratophrys Ceratophryidae Anura NA 31.5 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.005939563 0.075499305 0.291944882 0.001445764 11.92773416 1587.931956 475.3786501 29.44862259 2847.507188 NA 12100 DATA_DEFICIENT NA NA NA NA NA "Ceratophrys testudo Andersson, 1945" SPECIES Ceratophrys Ceratophryidae Anura Amphibia Chordata DATA_DEFICIENT
"Ceuthomantis aracamuni" Ceuthomantis Ceuthomantidae Anura NA 18.2 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 NA 0.00000281014 0.000000815652 0 0 22.68702083 2717.026944 400.4104167 23.69375 528.6590625 NA 12100 VULNERABLE 7.2 2.3 1.4 1.6 NA "Ceuthomantis aracamuni (Barrio-Amorós & Molina, 2006)" SPECIES Ceuthomantis Craugastoridae Anura Amphibia Chordata VULNERABLE
"Ceuthomantis cavernibardus" Ceuthomantis Ceuthomantidae Anura NA 32 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 NA 0.00000081126 0.00000774699 0 0 24.10949306 2505.488125 531.3099306 29.91923611 332.3725 NA 12100 LEAST_CONCERN 10.8 4.2 2 2.6 2.9 "Ceuthomantis cavernibardus (Myers & Donnelly, 1997)" SPECIES Ceuthomantis Craugastoridae Anura Amphibia Chordata LEAST_CONCERN
"Ceuthomantis duellmani" Ceuthomantis Brachycephaloidea Anura NA 24.65 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000280978 0.00000614516 0 0 21.59368354 2747.538698 337.4162659 53.59384991 850.2615507 NA 24200 NEAR_THREATENED 9.2 2.9 1.6 2 2.5 "Ceuthomantis duellmani Barrio-Amorós, 2010" SPECIES Ceuthomantis Craugastoridae Anura Amphibia Chordata NEAR_THREATENED
"Ceuthomantis smaragdinus" Ceuthomantis Ceuthomantidae Anura NA 19.8 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000618598 0.001703002 0.000327008 0.004856722 23.18018399 2840.62912 504.6875641 43.42818625 509.7576726 NA 24200 VULNERABLE 7.95 2.45 2.05 1.6 1.95 "Ceuthomantis smaragdinus Heinicke, Duellman, Trueb, Means, MacCulloch & Hedges, 2009" SPECIES Ceuthomantis Craugastoridae Anura Amphibia Chordata VULNERABLE
"Chacophrys pierottii" Chacophrys Ceratophryidae Anura 41.26 44.2 NA Oviparous NA NA NA Nocturnal Carnivorous 1 0 NA 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 NA 0.000287789 0.043109231 0.004252005 0.065926386 23.22098774 738.2297504 3693.358982 70.22399445 281.8212527 NA 556600 LEAST_CONCERN NA NA NA NA NA "Chacophrys pierottii (Vellard, 1948)" SPECIES Chacophrys Ceratophryidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana chalconota" Chalcorana Ranidae NA NA 49.535 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Chalcorana chalconota (Schlegel, 1837)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana eschatia" Chalcorana Ranidae NA NA 40.855 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 16.097435 NA NA NA NA "Chalcorana eschatia (Inger, Stuart & Iskandar, 2009)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana labialis" Chalcorana Ranidae NA NA 38.28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14.88264 NA NA NA NA "Chalcorana labialis (Boulenger, 1887)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana megalonesa" Chalcorana Ranidae NA NA 46.435 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Chalcorana megalonesa (Inger, Stuart & Iskandar, 2009)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana parvaccola" Chalcorana Ranidae NA NA 36.965 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Chalcorana parvaccola (Inger, Stuart & Iskandar, 2009)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana raniceps" Chalcorana Ranidae NA NA 34.275 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Chalcorana raniceps (Peters, 1871)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chalcorana rufipes" Chalcorana Ranidae NA NA 52.97 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Chalcorana rufipes (Inger, Stuart & Iskandar, 2009)" SPECIES Chalcorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Chaltenobatrachus grandisonae" Chaltenobatrachus Batrachylidae NA NA 37.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0 0.0000279712 0 0 5.182617156 2154.399114 2442.58186 9.494621912 266.3324149 NA 12100 LEAST_CONCERN 11.27 3.51 2.99 2.47 2.53 "Chaltenobatrachus grandisonae (Lynch, 1975)" SPECIES Chaltenobatrachus Batrachylidae Anura Amphibia Chordata LEAST_CONCERN
"Chaperina fusca" Chaperina Microhylidae Anura 1.4 22.4 NA Oviparous NA NA NA Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.007069039 0.153745386 0.011266906 0.000000810349 25.06546268 2965.020436 430.2717795 26.0833238 315.2449673 NA 726000 LEAST_CONCERN NA NA NA NA NA "Chaperina fusca Mocquard, 1892" SPECIES Chaperina Microhylidae Anura Amphibia Chordata LEAST_CONCERN
"Charadrahyla altipotens" Charadrahyla Hylidae Anura NA 80.6 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003487202 0.105682829 0.191363322 0 20.376343 1099.313207 1066.869766 96.65762412 1290.046948 NA 24200 ENDANGERED 20.2 6.2 6 5.6 NA "Charadrahyla altipotens (Duellman, 1968)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata ENDANGERED
"Charadrahyla chaneque" Charadrahyla Hylidae Anura NA 79.3 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.00802647 0.262807793 0.082019056 0 24.40434443 2354.759608 1835.335473 57.04128163 380.5643407 NA 36300 VULNERABLE 21.1 7.95 NA NA NA "Charadrahyla chaneque (Duellman, 1961)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata VULNERABLE
"Charadrahyla esperancensis" Charadrahyla Hylidae NA NA 48.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 16.63 4.36 5.85 NA NA "Charadrahyla esperancensis Canseco-Márquez, Ramírez-González & González-Bernal, 2017" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata VULNERABLE
"Charadrahyla juanitae" Charadrahyla Hylidae NA NA 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 11.55 3.8 3.7 2.7 NA "Charadrahyla juanitae (Snyder, 1972)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata NEAR_THREATENED
"Charadrahyla nephila" Charadrahyla Hylidae Anura NA 81 1541.5 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.011086387 0.072628567 0.127293409 0 18.60518803 1853.753908 1796.122641 80.23863984 1488.689049 NA 36300 ENDANGERED 20.6 7.45 NA NA NA "Charadrahyla nephila (Mendelson & Campbell, 1999)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata ENDANGERED
"Charadrahyla pinorum" Charadrahyla Hylidae NA NA 32.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 11.05 NA NA NA NA "Charadrahyla pinorum (Taylor, 1937)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata VULNERABLE
"Charadrahyla taeniopus" Charadrahyla Hylidae Anura 19.9 70 265 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 NA 0.019664006 0.205839917 0.193455192 0.001772932 18.11044429 1273.856266 2127.633385 72.33639347 1445.577904 NA 84700 VULNERABLE NA NA NA NA NA "Charadrahyla taeniopus (Günther, 1901)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata VULNERABLE
"Charadrahyla tecuani" Charadrahyla Hylidae Anura NA 57.8 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001921923 0.100073388 0.105586474 0 21.16902915 1251.273556 972.5318219 109.0616103 992.0417328 NA 12100 DATA_DEFICIENT 18.1 5.3 5 NA NA "Charadrahyla tecuani Campbell, Blancas-Hernández & Smith, 2009" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata DATA_DEFICIENT
"Charadrahyla trux" Charadrahyla Hylidae Anura NA 81 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001921923 0.100073388 0.105586474 0 21.16902915 1251.273556 972.5318219 109.0616103 992.0417328 NA 12100 ENDANGERED NA NA NA NA NA "Charadrahyla trux (Adler & Dennis, 1972)" SPECIES Charadrahyla Hylidae Anura Amphibia Chordata ENDANGERED
"Chiasmocleis alagoana" Chiasmocleis Microhylidae NA NA 24.925 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.6 2 2.975 1.4 1.85 "Chiasmocleis alagoana Cruz, Caramaschi & Freire, 1999" SPECIES Chiasmocleis Microhylidae Anura Amphibia Chordata VULNERABLE
