"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Aeshna viridis" "Aeshna viridis Eversmann, 1836" "SPECIES" "accepted" "Aeshna viridis Eversmann, 1836" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1108155.12569868 70 NA NA 65 75 NA 900 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 43 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion armatum" "Agrion armatum Charpentier, 1840" "SPECIES" "homotypic synonym" "Coenagrion armatum (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1375997.8346687 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 NA 19 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion barbarus" "Agrion barbarus Fabricius, 1798" "SPECIES" "homotypic synonym" "Lestes barbarus (Fabricius, 1798)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4080918.14690077 42.5 NA NA 40 45 425 75 NA NA NA 0.120547945205479 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.752577319587629 NA 2 1 0 1 0 0 NA 24 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 25 24 26 1 0 1 0 NA "NO"
"Agrion caerulescens" "Agrion caerulescens Fonscolombe, 1838" "SPECIES" "homotypic synonym" "Coenagrion caerulescens (Fonscolombe, 1838)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 854343.727660359 31.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 17.5 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion cyathigerum" "Agrion cyathigerum Charpentier, 1840" "SPECIES" "homotypic synonym" "Enallagma cyathigerum (Charpentier, 1840)" "Enallagma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5779798.38864336 32.5 NA NA 29 36 NA 360 NA NA NA 0.106849315068493 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 1 0 0.646048109965636 NA 2 0 1 1 1 0 NA 18 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 22.5 20 25 1 1 1 0 "eurytop" "NO"
"Agrion elegans" "Agrion elegans Vander Linden, 1820" "SPECIES" "homotypic synonym" "Ischnura elegans (Vander Linden, 1820)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6099080.68429347 32 NA NA 30 34 NA 75 NA NA NA 0.136986301369863 1 1 1 1 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.621993127147766 NA 2 0 1 0 0 0 NA 18 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 19.5 18 21 1 1 1 0 "eurytop" "NO"
"Agrion fatime" "Agrion fatime Charpentier, 1840" "SPECIES" "homotypic synonym" "Epallage fatime (Charpentier, 1840)" "Epallage" "Euphaeidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 32 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 "Yes" NA NA NA 0.31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion fusca" "Agrion fusca Vander Linden, 1820" "SPECIES" "homotypic synonym" "Sympecma fusca (Vander Linden, 1820)" "Sympecma" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3847340.55966188 36.5 NA NA 34 39 NA 75 NA NA NA NA 0 1 0 0 0 0 NA 1 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.601374570446735 NA 2 0 1 1 0 0 NA 20 "medium" NA 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 21.5 20 23 1 0 0 0 "oligotop" "NO"
"Agrion genei" "Agrion genei Rambur, 1842" "SPECIES" "homotypic synonym" "Ischnura genei (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 71310.570868353 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 15.5 "weak" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion graellsii" "Agrion graellsii Rambur, 1842" "SPECIES" "homotypic synonym" "Ischnura graellsii (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 605446.078568205 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 1 NA 16 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion haemorrhoidalis" "Agrion haemorrhoidalis Vander Linden, 1825" "SPECIES" "homotypic synonym" "Calopteryx haemorrhoidalis (Vander Linden, 1825)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 30 "strong" NA 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 0.87 0 1 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Agrion hastata" "Agrion hastata Say, 1840" "SPECIES" "homotypic synonym" "Ischnura hastata (Say, 1840)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 NA 12 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion hylas" "Agrion hylas Trybom, 1889" "SPECIES" "homotypic synonym" "Coenagrion hylas (Trybom, 1889)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 972881.081810169 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 25 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion johanssoni" "Agrion johanssoni Wallengren, 1894" "SPECIES" "homotypic synonym" "Coenagrion johanssoni (Wallengren, 1894)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1258372.13423455 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 17 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion lindenii" "Agrion lindenii Selys, 1840" "SPECIES" "homotypic synonym" "Erythromma lindenii (Selys, 1840)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "DATA_DEFICIENT" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1649385.10058268 33 NA NA 30 36 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 0 0 0 NA NA 2 0 1 0 1 0 NA 20 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 20 18 22 1 1 0 0 "oligotop" "NO"
"Agrion lunulatum" "Agrion lunulatum Charpentier, 1840" "SPECIES" "homotypic synonym" "Coenagrion lunulatum (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "RE" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 522979.51598703 31.5 NA NA 30 33 NA 360 NA NA NA 0.0520547945205479 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.171821305841924 NA 1 0 1 1 0 0 NA 19 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 22 19 25 1 0 1 1 "oligotop" "NO"
"Agrion macrostigma" "Agrion macrostigma Eversmann, 1836" "SPECIES" "homotypic synonym" "Lestes macrostigma (Eversmann, 1836)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 26 "medium" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion mercuriale" "Agrion mercuriale Charpentier, 1840" "SPECIES" "homotypic synonym" "Coenagrion mercuriale (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "EN" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1834776.96198159 29 NA NA 27 31 NA 720 NA NA NA 0.0958904109589041 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 NA NA 1 0 0 0 0 1 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 16 14 18 0 1 1 0 "stenotop" "NO"
"Agrion najas" "Agrion najas Hansemann, 1823" "SPECIES" "homotypic synonym" "Erythromma najas (Hansemann, 1823)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 3803025.66287947 33 NA NA 30 36 NA 75 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.388316151202749 NA 1 0 1 1 0 0 NA 22 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 28 25 31 1 0 0 0 "oligotop" "NO"
"Agrion ornatum" "Agrion ornatum Selys, 1850" "SPECIES" "homotypic synonym" "Coenagrion ornatum (Selys, 1850)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" "RE" "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 30.5 NA NA 30 31 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.151202749140893 NA 1 0 0 0 0 1 NA 20 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 17 15 19 0 0 0 0 "stenotop" "NO"
"Agrion ponticum" "Agrion ponticum Bartenev, 1929" "SPECIES" "homotypic synonym" "Coenagrion ponticum (Bartenev, 1929)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Agrion pulchellum" "Agrion pulchellum Vander Linden, 1825" "SPECIES" "homotypic synonym" "Coenagrion pulchellum (Vander Linden, 1825)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36 NA NA 34 38 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.388316151202749 NA 2 0 1 0 0 0 NA 20 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 18.5 17 20 1 1 1 0 "eurytop" "NO"
"Agrion pumilio" "Agrion pumilio Charpentier, 1825" "SPECIES" "homotypic synonym" "Ischnura pumilio (Charpentier, 1825)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28.5 NA NA 26 31 NA 75 NA NA NA 0.0986301369863014 0 1 1 1 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 1 0 0 0.707903780068729 NA 3 1 1 0 0 0 NA 16 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 17 15 19 1 1 1 0 "oligotop" "NO"
"Agrion scitulum" "Agrion scitulum Rambur, 1842" "SPECIES" "homotypic synonym" "Coenagrion scitulum (Rambur, 1842)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.5 NA NA 30 33 NA 195 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 1 1 0 0 0 0.573883161512027 NA 0 0 1 0 1 0 NA 17 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 16 14 18 1 1 1 0 NA "NO"
"Agrion senegalensis" "Agrion senegalensis Rambur, 1842" "SPECIES" "homotypic synonym" "Ischnura senegalensis (Rambur, 1842)" "Ischnura" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39864202.1363998 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 1 1 NA 14.25 "strong" NA 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Agrion speciosa" "Agrion speciosa Charpentier, 1840" "SPECIES" "homotypic synonym" "Nehalennia speciosa (Charpentier, 1840)" "Nehalennia" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "CR" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 926114.093830277 25 NA NA 24 26 NA 360 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0 NA 2 0 1 0 0 0 NA 14 "strong" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 9.25 8 10.5 0 0 1 0 "stenotop" "NO"
"Agrion virens" "Agrion virens Charpentier, 1825" "SPECIES" "homotypic synonym" "Lestes virens (Charpentier, 1825)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "CR" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 35.25 NA NA 30 39 NA 75 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0.422680412371134 NA 2 1 0 0 0 0 NA 21 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 26 23 29 1 0 1 0 "oligotop" "NO"
"Agrion viridulum" "Agrion viridulum Charpentier, 1840" "SPECIES" "homotypic synonym" "Erythromma viridulum (Charpentier, 1840)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29 NA NA 26 32 NA NA NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 0 0 0 0.611683848797251 NA 1 0 1 1 1 0 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 18.5 17 20 1 0 1 0 "oligotop" "NO"
