"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Aeshna grandis" "Aeshna grandis (Linnaeus, 1758)" "SPECIES" "accepted" "Aeshna grandis (Linnaeus, 1758)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3660733.83217128 73.5 NA NA 70 77 NA 720 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.75 NA 0 1 1 1 0 0.642611683848797 NA 1 0 1 0 0 0 NA 45 "strong" NA 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 43.5 41 46 1 0 1 0 "eurytop" "NO"
"Aeshna irene" "Aeshna irene Fonscolombe, 1838" "SPECIES" "homotypic synonym" "Boyeria irene (Fonscolombe, 1838)" "Boyeria" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 67 NA NA 63 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 NA NA 2 0 1 0 0 1 NA 42 "weak" NA 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 34 41 1 1 0 0 "stenotop" "NO"
"Aeshna isoceles" "Aeshna isoceles (Müller, 1767)" "SPECIES" "accepted" "Aeshna isoceles (Müller, 1767)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 64 NA NA 62 66 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.708333333333333 NA 0 1 0 0 0 NA NA 2 0 1 0 0 0 NA 42 "weak" "territorial" 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 40.5 39 42 1 0 1 0 "oligotop" "NO"
"Aeshna juncea" "Aeshna juncea (Linnaeus, 1758)" "SPECIES" "accepted" "Aeshna juncea (Linnaeus, 1758)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 72.5 NA NA 65 80 NA 1080 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.25 NA 0 1 1 1 1 0.573883161512027 NA 1 0 1 1 0 0 NA 44 "strong" "territorial" 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 40.5 37 44 1 0 1 0 "oligotop" "NO"
"Aeshna mixta" "Aeshna mixta Latreille, 1805" "SPECIES" "accepted" "Aeshna mixta Latreille, 1805" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 60 NA NA 56 64 NA 720 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 0 0 0 0.81786941580756 NA 2 0 1 0 1 0 NA 39.5 "strong" NA 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 32.5 30 35 1 1 1 0 "oligotop" "NO"
"Aeshna parthenope" "Aeshna parthenope Selys, 1839" "SPECIES" "homotypic synonym" "Anax parthenope (Selys, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68.5 NA NA 62 75 NA 720 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 1 1 0 0 0 0.924398625429553 NA 2 0 1 1 1 0 NA 48 "strong" NA 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 52.5 48 57 1 0 0 0 "oligotop" "NO"
"Aeshna serrata" "Aeshna serrata Hagen, 1856" "SPECIES" "accepted" "Aeshna serrata Hagen, 1856" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 50.5 "strong" "territorial" 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Aeshna subarctica" "Aeshna subarctica Walker, 1908" "SPECIES" "accepted" "Aeshna subarctica Walker, 1908" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" NA NA NA NA "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 74 NA NA 70 76 NA 1440 NA NA NA NA 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0.309278350515464 NA NA 0 0 0 0 0 NA 42.5 "weak" "territorial" 1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Aeshna subarctica subsp. elisabethae" "Aeshna subarctica elisabethae Djakonov, 1922" "SUBSPECIES" "accepted" "Aeshna subarctica elisabethae Djakonov, 1922" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "LC" NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 73 NA NA 70 76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.125 NA 0 0 1 1 0 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40 38 42 0 0 1 0 "stenotop" "NO"
"Aeshna tetraphylla" "Aeshna tetraphylla Vander Linden, 1825" "SPECIES" "homotypic synonym" "Lindenia tetraphylla (Vander Linden, 1825)" "Lindenia" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 74.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 NA 38 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
