"species" "scientificName" "taxonRank" "gbif_status" "gbif_accepted" "genus" "family" "order" "class" "phylum" "group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Foraging_strata" "BMR"
"Ammotragus lervia" "Ammotragus lervia (Pallas, 1777)" "SPECIES" "accepted" "Ammotragus lervia (Pallas, 1777)" "Ammotragus" "Bovidae" "Artiodactyla" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA "VULNERABLE" 1 0 0 0 1 0 1 0 0 0 1 1 0 NA NA NA NA NA NA 0 1 NA NA 0 2940300 48000 1760 1.22 "Viviparous" 1.07971506849315 1.11665753424658 21.7 "Diurnal" "Herbivorous" 0 0 0 0 0 0 1 0.5 5 7 0.000530425 0.016903225 0.004585294 0.060190509 22.96611625 78.60217052 6584.058551 108.9967686 761.8717298 12.785 1 NA
"Antilope lervia" "Antilope lervia Pallas, 1777" "SPECIES" "homotypic synonym" "Ammotragus lervia (Pallas, 1777)" "Ammotragus" "Bovidae" "Artiodactyla" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Apodemus agrarius" "Apodemus agrarius (Pallas, 1771)" "SPECIES" "accepted" "Apodemus agrarius (Pallas, 1771)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 1 0 0 0 1 0 1 1 NA NA NA NA NA NA 1 0 NA NA 0 14520000 23.3 125 5.66 "Viviparous" 0.208397260273973 0.265712328767123 4 "Diurnal" "Herbivorous" 1 0 0 1 0 1 1 0.5 4 7 0.00518755 0.154860822 0.066294534 0.040519305 6.770767502 663.3822688 10320.8239 53.17207071 412.0370366 0.127 1 73.48
"Apodemus alpicola" "Apodemus alpicola Heinrich, 1952" "SPECIES" "accepted" "Apodemus alpicola Heinrich, 1952" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "SPEED2ZERO" "INN" "Yes" "LC" "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 0 0 1 NA NA NA NA NA NA 0 0 NA NA 0 229900 29.375 150 5.5 "Viviparous" 0.140860273972603 0.211915068493151 4.5 "Cathemeral" NA NA NA NA NA NA NA NA 0.5 1 NA 0.011563626 0.068620324 0.064614898 0 5.968134905 1132.10537 6716.869833 27.14413394 1254.244226 0.152 NA 55.4
"Apodemus epimelas" "Apodemus epimelas (Nehring, 1902)" "SPECIES" "accepted" "Apodemus epimelas (Nehring, 1902)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA 0 0 NA NA 0 471900 42 150 3.36 "Viviparous" NA NA NA "Nocturnal" "Herbivorous" 1 0 0 1 0 1 1 0.5 1 1 0.003841705 0.132073254 0.104271096 0 12.67497567 818.7693835 6940.473939 44.15703582 535.0945756 0.186 1 NA
"Apodemus flavicollis" "Apodemus flavicollis (Melchior, 1834)" "SPECIES" "accepted" "Apodemus flavicollis (Melchior, 1834)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 0 0 1 0 1 0 0 0 0 0 1 NA NA NA NA NA NA 0 1 NA NA 0 8361100 29.375 130 5.5 "Viviparous" 0.140860273972603 0.18772602739726 4.5 "Nocturnal" NA NA NA NA NA NA NA NA 0.5 2 NA 0.006656609 0.174603736 0.060371907 0.003946858 8.368813033 682.66311 8020.987277 30.93924947 354.6520689 0.152 NA 61.5628571428571
"Apodemus fulvipectus" "Apodemus fulvipectus (Ognev, 1924)" "SPECIES" "synonym" "Apodemus witherbyi (Thomas, 1902)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Apodemus microps" "Apodemus microps Kratochvil & Rosicky, 1952" "SPECIES" "heterotypic synonym" "Apodemus uralensis (Pallas, 1811)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Apodemus mystacinus" "Apodemus mystacinus (Danford & Alston, 1877)" "SPECIES" "accepted" "Apodemus mystacinus (Danford & Alston, 1877)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 1 NA NA NA NA NA NA 1 0 NA NA 0 1258400 45.6 150 3.62 "Viviparous" NA NA NA "Nocturnal" "Herbivorous" 1 0 0 1 0 1 1 0.5 3 3 0.006675902 0.182340534 0.070394612 0.009914549 11.62689204 622.840329 7896.933642 54.58078366 1045.575979 0.186 1 NA
"Apodemus sylvaticus" "Apodemus sylvaticus (Linnaeus, 1758)" "SPECIES" "accepted" "Apodemus sylvaticus (Linnaeus, 1758)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 0 0 1 0 1 0 0 0 0 1 1 NA NA NA NA NA NA 1 1 NA NA 1 7368900 23.4 110 5.18 "Viviparous" 0.194520547945205 0.232876712328767 6.325 "Nocturnal" NA NA NA NA NA NA NA NA 0.5 5 NA 0.008211257 0.179903987 0.064881487 0.000436869 10.18445242 758.9318746 6613.451665 30.34756818 354.4854221 0.134 NA NA
