"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "THALLUS_type1" "THALLUS_type2" "THALLUS_type3" "THALLUS_type4" "THA_Morpho_type1" "THA_Morpho_type2" "THA_Morpho_type3" "THA_Morpho_type4" "THA_Morpho_type5" "THA_Morpho_type6" "THA_Morpho_type7" "THA_Morpho_type8" "THA_Morpho_type9" "THA_Morpho_type10" "THA_Morpho_type11" "THA_Morpho_type12" "THA_Morpho_type13" "THA_Morpho_type14" "THA_Growth1" "THA_Growth2" "THA_Growth3" "THA_Growth4" "THA_Growth5" "THA_Growth6" "THA_Growth7" "THA_Growth8" "THA_Growth9" "THA_Growth10" "THA_Growth11" "THA_Growth12" "THA_Pruinosity" "THA_Cilia" "THA_UpCol_black" "THA_UpCol_brown" "THA_UpCol_white" "THA_UpCol_yellow" "THA_UpCol_grey" "THA_UpCol_red" "THA_UpCol_green" "THA_UpCol_blue" "THA_LowCol_black" "THA_LowCol_brown" "THA_LowCol_white" "THA_LowCol_yellow" "THA_LowCol_grey" "THA_LowCol_red" "THA_LowCol_green" "THA_LowCol_blue" "THA_Rhizines" "THA_Rhizines_type1" "THA_Rhizines_type2" "THA_Rhizines_type3" "THA_Rhizines_type4" "THA_Rhizines_type5" "THA_Rhizines_type6" "THA_Rhizines_type7" "THA_Isidia" "THA_Soredia" "Ascomata" "ASCOMA_type1" "ASCOMA_type2" "ASCOMA_type3" "ASCM_link1" "ASCM_link2" "ASCM_link3" "ASCM_link4" "ASCM_link5" "ASCM_Paraphyses" "ASCOPORES_mean" "ASCP_PigmentCol1" "ASCP_PigmentCol2" "ASCP_PigmentCol3" "ASCP_PigmentCol4" "ASCP_PigmentCol5" "ASCP_PigmentCol6" "ASCP_PigmentCol7" "ASCP_PigmentCol8" "ASCP_PigmentCol9" "ASCP_PigmentCol10" "ASCP_PigmentCol11" "ASCP_PigmentCol12" "ASCP_Septa" "ASCP_Septa_type1" "ASCP_Septa_type2" "ASCP_TransSepta_lower" "ASCP_TransSepta_mean" "ASCP_TransSepta_upper" "ASCP_Perispore_type1" "ASCP_Perispore_type2" "ASCP_Perispore_type3" "ASCP_Perispore_type4" "ASCP_Perispore_type5" "PPhotobiont" "SPhotobiont" "PPhotobiont_type1" "PPhotobiont_type2" "PPhotobiont_type3" "Life_type1" "Life_type2" "Life_type3" "Life_type4" "Life_type5" "Substrate" "Substrate_type1" "Substrate_type2" "Substrate_type3" "Substrate_type4" "Substrate_type5" "Substrate_type6" "Substrate_type7" "Substrate_type8" "Substrate_type9" "EIV_Light" "EIV_Temp" "EIV_Moisture" "EIV_pH" "EIV_Eutroph" "CH_status" "MISSING_ALL_TRAITS"
"Acarospora argillacea" "Acarospora argillacea (Arnold) Hue" "SPECIES" "accepted" "Acarospora argillacea (Arnold) Hue" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 10407683.5964595 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 0 0 0 "present" 94.88 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 8.76 2.876 5.68 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.617777777777778 0.72 0.813333333333333 0.555555555555555 0.335 "NE" "YES"
"Acarospora badiofusca" "Acarospora badiofusca (Nyl.) Th.Fr." "SPECIES" "accepted" "Acarospora badiofusca (Nyl.) Th.Fr." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 NA 14007389.1647874 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent, present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 1 0 0 "present" 88.48 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 6.96 2.44 4.32 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 1 0 0.697777777777778 0.724444444444444 0.857777777777778 0.413333333333333 0.405 "NE" "NO"
"Acarospora badiofusca subsp. badiofusca" "Acarospora badiofusca subsp. badiofusca" "SUBSPECIES" "accepted" "Acarospora badiofusca badiofusca (Nyl.) Th.Fr., 1861" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 11800760.0268767 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 0 0 0 "present" 94.08 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 7.96 2.92 5.68 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.671111111111111 0.8 0.822222222222222 0.577777777777778 0.42 "NE" "YES"
"Acarospora badiofusca subsp. badiorubra" "Acarospora badiofusca subsp. badiorubra Clauzade & Cl.Roux, 1981" "SUBSPECIES" "accepted" "Acarospora badiofusca subsp. badiorubra Clauzade & Cl.Roux, 1981" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 12643188.5538363 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 0 0 0 "present" 90.56 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 10.04 2.68 6.52 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.648888888888889 0.733333333333333 0.831111111111111 0.524444444444444 0.435 "NE" "YES"
"Acarospora bullata" "Acarospora bullata Anzi" "SPECIES" "accepted" "Acarospora bullata Anzi" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 NA 12197675.775704 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose, pruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent, present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 77.44 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 8 2.2 4.52 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 1 0 0.711111111111111 0.711111111111111 0.813333333333333 0.448888888888889 0.45 "NE" "NO"
"Acarospora cervina" "Acarospora cervina A.Massal." "SPECIES" "accepted" "Acarospora cervina A.Massal." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "VULNERABLE" 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 11482729.1174046 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose, pruinose" "absent" 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 92.8 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 7.44 2.28 5.44 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 1 0.733333333333334 0.96 0.911111111111111 0.853333333333333 0.65 "NE" "NO"
"Acarospora cervina aggr." "Acarospora cervina A.Massal." "AGGREGATE" "accepted" "Acarospora cervina A.Massal." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 14124304.4332361 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose, pruinose" "absent" 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 91.68 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 7.6 2.52 4.24 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 1 0.693333333333334 0.875555555555556 0.822222222222222 0.808888888888889 0.64 "NE" "NO"
"Acarospora chrysocardia" "Acarospora chrysocardia Redinger" "SPECIES" "accepted" "Acarospora chrysocardia Redinger" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 13678791.6551038 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 87.52 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 8.36 3.04 5.4 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.64 0.768888888888889 0.817777777777778 0.586666666666667 0.395 "NE" "YES"
"Acarospora cinerascens" NA "SPECIES" NA "unresolved_accepted_89" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 12488801.6816715 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "present" "absent, present" 1 0 0 1 0 0 0 0 "present" 82.72 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 9.72 2.8 5.2 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.688888888888889 0.631111111111111 0.764444444444445 0.44 0.33 "NE" "YES"
"Acarospora commixta" "Acarospora commixta H.Magn." "SPECIES" "accepted" "Acarospora commixta H.Magn." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 13630194.6257989 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 "present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 87.2 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 9.08 2.68 5.64 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.626666666666667 0.666666666666667 0.777777777777778 0.502222222222222 0.35 "NE" "YES"
