"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "AnnuMeanTemp" "Migration_type" "Migration_dist" "MISSING_ALL_TRAITS"
"Acipenser gueldenstaedtii" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "SPECIES" "accepted" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2022524.84398356 2360 5.623484547 0.281538806 0.373503483 0 0.22549694812 0.456523899 0 0.161473163 4.036914648 1599879.2 "fe3" 7.56 "ma5" 26.8 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.396 28.364 10.184 "dia" "long" "NO"
"Acipenser huso" "Acipenser huso Linnaeus, 1758" "SPECIES" "homotypic synonym" "Huso huso (Linnaeus, 1758)" "Huso" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1771044.89389217 8000 5.533829676 0.404649948 0.197402512 0.106778997 0.814109081 0.331885667 0.382064176 0.144931983 3.394681084 1393602.6 "fe3" 7.12 "ma5" 27.2 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lithpel" "rheo" "limno" "fbm" -8.248 28.66 9.672 "dia" "long" "NO"
"Acipenser naccarii" "Acipenser naccarii Bonaparte, 1836" "SPECIES" "accepted" "Acipenser naccarii Bonaparte, 1836" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" "NEO" "Yes" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 36728.0543319357 2000 6.551865129 0.212053188 0.360114556 0.212053188 0.26052972148 0.295935313 0 0.128569755 3.691615757 1274652.8 "fe3" 6.88 "ma5" 26 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lith" "rheo" "eury" "fbm" -7.668 28.48 9.784 "dia" "long" "NO"
"Acipenser nudiventris" "Acipenser nudiventris Lovetsky, 1828" "SPECIES" "accepted" "Acipenser nudiventris Lovetsky, 1828" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1260706.33859222 2110 6.063213804 0.427132717 0.225251679 0 0.147225851 0.40131362 0 0.168950701 3.772213697 1496632.4 "fe3" 8.28 "ma5" 25.2 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.46 28.368 10.144 "dia" "long" "NO"
"Acipenser oxyrinchus" "Acipenser oxyrinchus Mitchill, 1815" "SPECIES" "accepted" "Acipenser oxyrinchus Mitchill, 1815" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA NA NA NA "REGIONALLY_EXTINCT" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2224244.33072924 2670 6.592591411 0.265423929 0.232465143 0 0.225918324 0.450606752 0 0.124972702 5.149832966 3755745 "fe3" 18 "ma5" 60 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 "bentic" "ben" "phylith" "rheo" "rheo" "fbm" -7.876 28.584 10.566 "dia" "long" "NO"
"Acipenser persicus" "Acipenser persicus Borodin, 1897" "SPECIES" "accepted" "Acipenser persicus Borodin, 1897" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 779250.579211533 2550 5.90920942 0.34835932 0.286088355 0 0.167096847 0.458549889 0 0.141044583 4.677642862 1523019.6 "fe3" 6.44 "ma5" 22.4 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -8.28 28.732 9.996 "dia" "long" "NO"
"Acipenser ruthenus" "Acipenser ruthenus Linnaeus, 1758" "SPECIES" "accepted" "Acipenser ruthenus Linnaeus, 1758" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "VU" "ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2204002.25304739 1250 7.503637265 0.284759694 0.306006503 0.121716216 0.231894883 0.428815146 0 0.146616693 4.013454139 1845058.8 "fe3" 6.88 "ma5" 25.6 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "frb" -8.232 28.476 10.076 "pot" "medium" "NO"
"Acipenser stellatus" "Acipenser stellatus Pallas, 1771" "SPECIES" "accepted" "Acipenser stellatus Pallas, 1771" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2209946.33100385 2500 8.674477993 0.280231335 0.280278547 0 0.278200985 0.325371789 0 0.098354576 4.437812167 1267372.8 "fe3" 7.12 "ma5" 24 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -8.312 28.328 10.116 "dia" "long" "NO"
"Acipenser sturio" "Acipenser sturio Linnaeus, 1758" "SPECIES" "accepted" "Acipenser sturio Linnaeus, 1758" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" NA "Yes" "RE" "CR" "REGIONALLY_EXTINCT" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1417046.95898062 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 0.12454573784 3.30320441 1328332.8 "fe3" 6.32 "ma5" 24 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -8.288 28.46 10.018 "dia" "long" "NO"
"Alburnoides bipunctatus" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "accepted" "Alburnoides bipunctatus (Bloch, 1782)" "Alburnoides" "Cyprinidae" "Clupeiformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "SPEED2ZERO" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 358207.592997914 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 996659.6 "fe1" 4.84 "ma2" 19.32 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "rheo" "frb" -8.112 28.536 10.082 "pot" "short" "NO"
"Alburnoides eichwaldii" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" "accepted" "Alburnoides eichwaldii (De Filippi, 1863)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 885032.238402094 282.24 3.53241607756 0.4816496452 0.54128337688 0.43826754964 0.37943863992 0.4509865586 0.2593244078 0.1731958034 2.68896342884 1451834.2 "fe1" 5.82 "ma2" 22.76 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -7.92 28.716 10.296 "pot" "short" "YES"
"Alburnoides gmelini" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" "accepted" "Alburnoides gmelini Bogutskaya & Coad, 2009" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 22631.4264943026 319.16 3.82678357332 0.4414696994 0.52042243688 0.39372442584 0.40197088356 0.46784907164 0.23119994624 0.16352953576 2.6138104766 1282919.2 "fe1" 5.72 "ma1" 17.4 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.092 28.676 10.416 "pot" "short" "NO"
"Alburnoides kubanicus" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" "accepted" "Alburnoides kubanicus Bănărescu, 1964" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 37491.799521431 295.92 3.77557517576 0.46478333128 0.52711490648 0.38996720908 0.40019759008 0.452608828 0.23472198416 0.17234450948 2.71091792376 1058774.4 "fe1" 4.42 "ma1" 18.4 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -7.964 28.496 10.308 "pot" "short" "NO"
"Alburnoides maculatus" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" "accepted" "Alburnoides maculatus (Kessler, 1859)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 22374.1468300049 277.72 3.87068958044 0.46094901336 0.51163935008 0.38177712016 0.38128794732 0.46575227092 0.2253622374 0.163657167 2.8356584974 954024.8 "fe1" 5.32 "ma1" 24.16 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.024 28.98 10.486 "pot" "short" "NO"
"Alburnoides ohridanus" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" "accepted" "Alburnoides ohridanus (Karaman, 1928)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 348.39331223541 266.8 4.88959577668 0.5037337988 0.52989861468 0.48698897208 0.40360843312 0.45462655356 0.27685449428 0.16637629564 2.78803119436 1288973.6 "fe1" 5.14 "ma1" 26.68 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "eury" "limno" "frb" -7.848 28.664 9.914 "pot" "short" "NO"
"Alburnoides prespensis" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" "accepted" "Alburnoides prespensis (Karaman, 1924)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 318.662821025835 303.6 3.85380547456 0.48449536344 0.52617662716 0.41992685576 0.41632269488 0.44774084472 0.26000599188 0.1670475878 2.77517708016 1435253.6 "fe1" 6.36 "ma2" 21.08 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -7.908 28.588 9.876 "pot" "short" "NO"
"Alburnoides rossicus" "Alburnoides rossicus Berg, 1924" "SPECIES" "accepted" "Alburnoides rossicus Berg, 1924" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1712601.95453628 738.2 4.23725709652 0.43702349528 0.42110169172 0.27604646516 0.40627038992 0.4463237118 0.216704395 0.16713644464 2.8353857962 1463842.4 "fe3" 4.94 "ma5" 22.36 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "rheo" "fre" -8.252 28.7 10.15 "pot" "short" "NO"
"Alburnus albidus" "Alburnus albidus (Costa, 1838)" "SPECIES" "accepted" "Alburnus albidus (Costa, 1838)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 50579.2558514203 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 1613231 "fe2" 5.04 "ma2" 20.4 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.764 28.788 10.59 "pot" "short" "NO"
"Alburnus albor" "Alburnus albor (Scopoli, 1786)" "SPECIES" "heterotypic synonym" "Alburnus arborella (Bonaparte, 1841)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" "INN" "Yes" "CR" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 129721.996692659 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 1099165.04 "fe1" 5.2 "ma1" 27.32 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.06 28.808 9.974 "pot" "short" "NO"
"Alburnus alborella" "Alburnus alborella (De Filippi, 1844)" "SPECIES" "synonym" "Alburnus arborella (Bonaparte, 1841)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" "INN" "Yes" "CR" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 129721.996692659 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 1128726 "fe1" 4.06 "ma1" 23.64 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.432 28.432 10.06 "pot" "short" "NO"
"Alburnus alburnus" "Alburnus alburnus (Linnaeus, 1758)" "SPECIES" "accepted" "Alburnus alburnus (Linnaeus, 1758)" "Alburnus" "Cyprinidae" "Clupeiformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7213077.00336118 250 4.253526855 0.559971056 0.540985824 0.559971056 0.441100168 0.429576461 0.2766026 0.152191702 1.942321838 1403714.24 "fe2" 5.4 "ma2" 19.72 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 "bentic" "wc" "phylith" "eury" "eury" "frb" -7.796 29.172 9.964 "pot" "short" "NO"
"Alburnus arborella" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" "accepted" "Alburnus arborella (Bonaparte, 1841)" "Alburnus" "Cyprinidae" "Clupeiformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "SPEED2ZERO" "INN" "Yes" "CR" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 129721.996692659 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 1243990.2 "fe1" 5.22 "ma1" 22.52 "ls1" "Omnivorous" 1 1 0 0 1 0 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -8.024 28.352 10.21 "pot" "short" "NO"
"Alburnus belvica" "Alburnus belvica Karaman, 1924" "SPECIES" "accepted" "Alburnus belvica Karaman, 1924" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 318.662821025835 220 4.03104469 0.637553245 0.614438664 0.6943181 0.337188803 0.419771136 0.340625226 0.168893506 2.65701823184 1355508.84 "fe1" 5.48 "ma2" 19.92 "ls1" "Omnivorous" 1 1 1 0 0 0 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -8.36 28.72 10.49 "pot" "short" "NO"
