"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp" "MISSING_ALL_TRAITS"
"Anatololacerta anatolica" "Anatololacerta anatolica (Werner, 1900)" "SPECIES" "accepted" "Anatololacerta anatolica (Werner, 1900)" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 229900 9.77237221 75 5.5 "oviparous" NA 3 10 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0.5 2 NA 0.009471595 0.160084669 0.110268385 0 13.44 643.1635099 7091.6 17.677192 850 NA "No" "Brown/Gray" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.9 "NO"
"Anatololacerta oertzeni" "Anatololacerta oertzeni (Werner, 1904)" "SPECIES" "synonym" "Anatololacerta anatolica (Werner, 1900)" "Anatololacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 229900 9.77237221 75 5.5 "oviparous" NA 3 10 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0.5 2 NA 0.009471595 0.160084669 0.110268385 0 13.44 643.1635099 7091.6 17.677192 850 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.9 "NO"
"Anguis cephallonicus" "Anguis cephallonica Werner, 1894" "SPECIES" "accepted" "Anguis cephallonica Werner, 1894" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "Yes" NA "NT" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 96800 75.8577575 286 10.5 "viviparous" NA 3 25.48 "Diurnal" "Carnivorous" 1 1 0 0 0 0 0 0.5 4 NA 0.001703837 0.082464778 0.135626377 0 14.9839887856 729.1188334 5638.55123268 21.232636 600 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 29 "NO"
"Anguis cephalonnica" "Anguis cephallonica Werner, 1894" "SPECIES" "accepted" "Anguis cephallonica Werner, 1894" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 96800 75.8577575 286 10.5 "viviparous" NA 3 25.656 "Diurnal" "Carnivorous" 1 1 0 0 0 0 0 0.5 4 NA 0.001703837 0.082464778 0.135626377 0 16.4330407372 729.1188334 5346.24928264 21.232636 600 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 29 "NO"
"Anguis fragilis" "Anguis fragilis Linnaeus, 1758" "SPECIES" "accepted" "Anguis fragilis Linnaeus, 1758" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 3932500 79.43282347 291 9.48 "viviparous" NA 3.5 54 "Diurnal" "Carnivorous" 1 1 0 0 0 0 0 0.5 4 NA 0.010182088 0.150893243 0.064806025 3.45384e-06 8.49 845.6258295 6158.1 16.241932 1370 NA "No" "Black/Brown" "Banded/blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 24.25 "NO"
"Anguis jaculus" "Anguis jaculus Linnaeus, 1758" "SPECIES" "homotypic synonym" "Eryx jaculus (Linnaeus, 1758)" "Eryx" "Boidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 4561700 254.2289496 552.5 13 "ovoviviparous" NA 3 24.7 "Nocturnal" "Carnivorous" 1 1 0 0 0 0 0 0.25 4 NA 0.005450615 0.131127623 0.026217727 0.048297635 17.00134 352.3145859 818.3152 0.73 850 NA "No" "Black/Brown" "Banded/blotched" "Mixed" "slit (or vertical elliptical)" "non-fanged" "GSD (ZW/ZZ)" 25.2508 "NO"
"Anguis miliaris" "Anguis miliaris Pallas, 1773" "SPECIES" "homotypic synonym" "Eryx miliaris (Pallas, 1773)" "Eryx" "Boidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 5856400 188.2 720 13 "viviparous" NA 3 18.3 "Nocturnal" "Carnivorous" 1 1 0 0 0 0 0 0.25 4 NA 0.001652304 0.051182371 0.013499871 0.240277358 12.27833603 193.0950477 10612.88408 84.09454495 1063.342768 NA "No" "Black/Brown" "Banded/blotched" "Mixed" "slit (or vertical elliptical)" "non-fanged" "GSD (ZW/ZZ)" 28.0004 "NO"
"Anguis punctatissimus" "Anguis punctatissimus Bibron & Bory De St.Vincent, 1833" "SPECIES" "homotypic synonym" "Ophiomorus punctatissimus (Bibron & Bory De St.Vincent, 1833)" "Ophiomorus" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 108900 2.454708916 100 3 "viviparous" NA 3 10.6764 "Diurnal" "Carnivorous" 1 0 0 0 0 1 0 0 2 NA 0.002514557 0.096369178 0.106904741 0 14.92 695.2593062 6561.4 20.766255 650 NA "No" "Black/Brown/Yellow" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 29.8 "NO"
"Anguis veronensis" "Anguis veronensis Pollini, 1818" "SPECIES" "accepted" "Anguis veronensis Pollini, 1818" "Anguis" "Anguidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "SPEED2ZERO" "INN" NA "EN" NA "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 605000 41.68693835 233 9.3814 "viviparous" NA 2.88833333333333 9 "Cathemeral" "Carnivorous" 1 1 0 0 0 0 0 0.5 1 NA 0.013781802 0.126426064 0.051568874 0 21.41 917.7066544 348.8061 19.777919 1000 NA "No" "Black/Brown" "Uniform" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 26.15 "NO"
"Archaeolacerta bedriagae" "Archaeolacerta bedriagae (Camerano, 1885)" "SPECIES" "accepted" "Archaeolacerta bedriagae (Camerano, 1885)" "Archaeolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 84700 14.12537545 84 4.5 "oviparous" NA 1.68933333333333 10.2244 "Diurnal" "Omnivorous" 1 0 0 1 0 0 1 0.5 4 NA 0.00271889 0.050181255 0.040135536 0 13.71 723.4959235 5186.6 22.764316 1355 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.4 "NO"
